nome,faixa_preco,menor_preco,piece_link,since,img,timestamp
"Apple iPhone 8 Plus 5,5 polegadas 4G LTE 12MP C‚mera de Smartphone de gravaÁ„o de vÌdeo 4K","R$ 12.043,78","R$ 12.043,78",https://track2.jacotei.com.br/r?h=eJxVUdGK2zAQ%2FBUhSJ5yjiVFthwIIaRNH3pHA%2B37sZZWiTnFcmU74Tju37vnNrQFPezMzsLM6I1fMfVNbPmai0zwBR9eOyRgQ2NfCHYputEOfP3GxxRocR6Grl8vl0MC%2B4JJZuD0NGc2Xu7scjrfgrUbaa1HI6Xzzmin6lIqXfqV0z43lffFvNnoygi0lUC0yvlaeGMKL1DO40ZjVbtSFd5gpRFor0yuQM8TuiahHZ7J1WbyNFO7mTzQu91uGVwwNRZa6D9sZXUifooyRJpEUciVqkqlZurgE7Q%2FZ%2BrT7vD4kKsHmatCzGSBHSRia3kD34QGXOyJjV37W7rbf3sifA4EQ7xhoq5sZ%2Fk6z4xe8CuEkWoUMl%2BprDQL3pIjam%2FXdQFZczzHFplhxzD2TC8062LAEzjo2eoLe%2FzxmQn5dGT7LcUA5pB9v0AauumK0CnBFbbb%2BDFftw4jW339%2B3Ujpe6bU4uOuOg9pufGEa8kgsodOFFYLSqdQ11LqllgURZ1qUndDzHhpFb6ju7O%2F2v0Iy0MeIrpdZLr8h%2Fiz8Uewxgg8XdaJWqGG1GhRK%2F4%2By%2BhTsTf,No J·Cotei desde Abr/2020,https://images-americanas.b2w.io/produtos/01/00/img/1662439/7/1662439741P1.jpg,Mon Apr 27 23:07:48 2020
"Apple iPhone 8 Plus 5,5 polegadas 4G LTE 12MP C‚mera de Smartphone de gravaÁ„o de vÌdeo 4K","R$ 10.520,40","R$ 10.520,40",https://track2.jacotei.com.br/r?h=eJxVUdGK2zAQ%2FBUhSJ5yjiVbthwIIeSaPvSOBtr3Yy2tEnOK5cp2wnHcv3fjNrQHetiZnYWZ0Tu%2FYOyb0PIVF4ngCz68dUjA%2BMa8EuxisKMZ%2BOqdj9HT4jQMXb9aLocI5hWjTMCqaU5MON%2FZ5XS%2BAWPW0hiHWkrrrFY2q0uZqdLlVrlUV84V82atKi3QVALRZNbVwmldOIFyHtYKKyOsdk5jpRBon2mTOzWPaJuIZnghV%2BvJ0yzbzuSe3vV6TeCMsTHQQn%2BzldSR%2BCnKEGgSRSFznZVKzLK9i9D%2BmmWP2%2F3TQ5o9yDQrxEwW2EEktpZXcI1vwIae2NC1f6Tb3fdnwidP0IcrRurKdIav0kSrBb%2BAH6lGkSqZJvmCt2SIytt2nUfWHE6hRabZwY89UwvFuuDxCBZ6ln9lTz%2B%2FMCGfD2y3oRTALLIfZ4hDN10ROka4wGYTbvNlYzGw%2FNu%2FnxspdN8cW7TEBecwvjSW%2BKKSNVY6r52DOi1TYeqyKJQWZFE7LUndDyHipM7UHd2dfyr0FhYGPIb4NslV%2BR%2Fx92KHfvQQ%2BQetorkZgDKt8sLyj9%2BPE8SY,No J·Cotei desde Abr/2020,https://images-americanas.b2w.io/produtos/01/00/img/1662483/8/1662483806P1.jpg,Mon Apr 27 23:07:48 2020
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi C‚mera 12MP,"R$ 8.699,00","R$ 8.699,00",https://track2.jacotei.com.br/r?h=eJxVUcFq4zAU%2FBUhcC5NHEuyFDkQSjZLetnQwB72WGTpqRF1La9s11tK%2F31f3Zbdgg5v5o3QzOiFPkHqQ2zplrKc0SUdnjtAYJtgHxB2KbrRDnT7QsfU4OIyDF2%2FXa%2BHZOwDJJ4bJ%2Bc5t%2FHxk13P16%2BNtTturQfNufNOSyfqDRdy40snfaEr79Ui7GSlGdiKAVjhfM281soz4Iu4k67yAMCU5doIW8sCRO2dWCRwIYEd7tDVbvaUiX3Gj3imacrNI6RgTWv6N1t5nZCfowwRJ654pZXWMhNHn0z7OxPf98cfq0KseCEUy7iCziRkaz4ZH5pgXOyRjV37Lt0fbk%2BILw3CJk6QsCrbWbotci2X9Mk0I7aoVVXlxZK2aAerC%2BdLbIEwRs4pkpP5QyTjN98QmQHwBRJuf5LyhlyRX2F1DORwjSkMYfx0%2FvcxI2bqw30LDrnoPaS74JAvCs9Kya0sVAVC1IxDXdRWqZIJqL1GdT%2FEBLNayE%2F0YW3%2Fpa%2B3MGjpPqbnWS43%2FxEfNw7QjI1J9BVXCYNTL0rpTcno618Gf7kJ,No J·Cotei desde Fev/2020,https://images-americanas.b2w.io/produtos/01/00/img/262987/1/262987167P1.jpg,Mon Apr 27 23:07:48 2020
"Smartphone Samsung Galaxy Z Flip 256GB - Ultravioleta 8GB RAM 6,7 C‚m.","R$ 8.369,07","R$ 8.369,07",https://track2.jacotei.com.br/r?h=eJxVkUtvGyEUhf8KYuGVmZfNPCxZURup2TSbRt10E10YZkILA%2BJh1Y7y33s7cdpkhc65F%2B79Ds%2F0pELUbqEHWhc13dJ09gqFNFr%2BQumDG7NM9PBMczBYeErJx0NZSpOFagoLM1z0okzWFyiks4UIZbQQkn9yi2IRbMzLzGYw8PvMLmwy2rOGt7Ng2aQAJ%2B2MSsB6NAJY1nZM4jFmb4BFZSatWF1ZX%2Fqy5px3w76qyqRKHDuVN5vl%2BBOkS0pvcrKP0eUg1QfLqlFnexSNWCW%2B7UHPy9HDGMBtPG66qPCox%2BPQcb7BieZVfiDDJKSX9FAVPd%2FSE5iMIfW7diiqbksXsH8ze%2FiHTR5escndik1%2BkC%2BITRD77jNh5Ps7cNKj9e3TPWm3Hbm9scX%2FP8gLxIi7qhE9N03rXugrKYdm6EUtOe9r3jVDNbQC1LTv96NoeuyOyQW1du%2BaN3Xd8v7KRb6%2BgUFSswvntZ1374zrjVvMwECgL1gKGALd8aYW%2B6GlL38AbAG%2BxA%3D%3D,No J·Cotei desde Abr/2020,https://a-static.mlcdn.com.br/500x500/smartphone-samsung-galaxy-z-flip-256gb-ultravioleta-8gb-ram-67-cam-dupla-selfie-10mp/magazineluiza/155579400/4a3b32156c114ac63c306053c3fcd2de.jpg,Mon Apr 27 23:07:48 2020
Smartphone Samsung Galaxy Z Flip SM-F700F Desbloqueado Dual Chip 256GB Android 10.0 Preto,"R$ 8.369,07","R$ 8.369,07",/smartphone-samsung-galaxy-z-flip-sm-f700f-desbloqueado-dual-chip-256gb-android-10-0-preto/p,No J·Cotei desde Mar/2020,//img.ijacotei.com.br/produtos/200/200/02/91/16359102.jpg,Mon Apr 27 23:07:48 2020
"iPhone X Apple 256GB 5,8"" Desbloqueado Prata","R$ 8.365,99","R$ 8.365,99",/iphone-x-apple-256gb-5-8-desbloqueado-prata/p,No J·Cotei desde Nov/2017,//img.ijacotei.com.br/produtos/200/200/88/96/12589688.jpg,Mon Apr 27 23:07:48 2020
"Samsung Galaxy Z Flip Preto, com Tela de 6,7"", 4G, 256GB e C‚mera Dupla de 12MP + 13MP - SM-F700FZKDZTO","R$ 8.099,44","R$ 8.099,44",https://track2.jacotei.com.br/r?h=eJxlkt1u4jAQhV%2FF8kVvNs5PgUCQUKWWBa1WaVHD3qCVkLEnNG0cW7ZTFqq%2B%2B04Cq0Xqje05Pp6xv%2FEHfQfrKt3QKU3ChAbUHw1gIOpKvGForJat8HT6QVtb48aL98ZNo%2BhwOIQld969aBMKrcKdjQ6wi0wko2JZ5ItxHC82q%2FXTdvU8jxxXrm32bM9r%2FufITqysK8OMBa%2FZ7Sjd75hTrMQj5elNnlDsUkd3hlvfgJ3hLKCymr1yoT1UN61XW6dbVGdYe3stK5BVqzq5DwVXhlf7ZrZ6%2Fp7%2F%2BJWfRd14aPzscd6HHqyafbn0jcBkSlwXYFt2SYOrxzkOX04hM2EEncbhZBTQd163iHMSZ1k4HAa04aqjW5xxkGWPg2zIAnGQVYcjIFiPrKHmRAJJg%2FFvGpDhMiCIaXlPgDzcKbCczFtztiS3%2BYp8I8kAJ0aKnJ2v83O%2BWT%2F972fbcOcQA0jUdFmC3Vaya7ooQcokK3ejJI3HaZKKbBQDl5MY5IAP0e28ttC70fEvvDxkgW0iBX6B7tncw17bY28dja%2BEi%2FkB6rbmln7ilkVENCulHMhJSj%2F%2FAsaU0cU%3D,No J·Cotei desde Abr/2020,http://www1.fastshop.com.br/imgprod/SGSMF700FZPTO_N.jpg,Mon Apr 27 23:07:48 2020
iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi C‚mera 12MP - Apple,"R$ 8.045,76","R$ 8.045,76",https://track2.jacotei.com.br/r?h=eJxVUWFr2zAU%2FCtC4HxZ4liSZdmBULyMlMFCCvuwfSuy9NSIupYn2%2FVK6X%2Fvq9eyDQR6d7oHd6dn%2Bghx8KGjO8pSRtd0fOoBgWm9uUfYx2AnM9LdM51iiw%2BXceyH3XY7Rm3uIfJUW7nMqQkPH%2Bx2Wb%2FSxuy5MQ5Kzq2zpbSiUVxI5XIrXVZWzhUrv5dVycBUDMAI6xrmyrJwDPgq7GVjG21ZAU3DKm0KbmylmNKrCNZHMOMtutovnhJRJ%2FyIZ57nVD9A9EZ3enizlTYR%2BSXKGHBiIs9ULlWeiKOLuvuViC%2F18dsmExueiYIlvIBeR2QbPmvnW69tGJANffdHWh%2FOJ8SXFmEbZohYlekN3WVpKdf0UbcTtlhmuUxVsaYd%2BsHu%2FM0ldEB%2BDuSkf5PzFAORjF9%2FJl%2FP3xkn%2BTX5RH74jfPkcIUBNGH8dEM2pO77Fv7%2BzYSxBn%2FXgUUuOAfx1lvkORbtCpsZkwsFCrLCQQZNoXKRN3ihehhDhEUt5Ad6N1f%2FV9lbHj3CXYhPi1yqf4j3jQO0U6sjfcGniNmpc5VVjAN9eQURrrpS,No J·Cotei desde Abr/2020,https://images-americanas.b2w.io/produtos/01/00/offers/01/00/item/134074/5/134074574P1.jpg,Mon Apr 27 23:07:48 2020
iPhone 11 Pro 512GB Cinza Espacial iOS 4G + Wi-Fi C‚mera 12MP,"R$ 7.999,00","R$ 7.999,00",https://track2.jacotei.com.br/r?h=eJxVUctu2zAQ%2FBWCgHypLfMhSqQBI3DdOpcGMdBDjwG1JGMiiqhScow0yL93oyZoC%2FCwMzsLzAxf6JPPY0w93VBecrqk0%2FPgEUAX4QHhkJM7w0Q3L%2FScO1ycpmkYN%2Bv1lC08%2BCxK69Q8l5AeP9j1fH5lAbYCIHgthAtOKyfbRkjVhMqpwLQJoV7ErTKaezDce5AutDxoXQfuxSJtlUMNl6YGoa2EVjEvgVVqkb2L2cN0h662s6dC7gpxwHe5XEr76HME29vxzVbZZuTnKFPCSdTCGG2ULuQhZNv%2FLOSX3eHbismVYLLmhaj9YDOyrbjYELtoXRqRTUP%2FR7rb394gPnUIu3TxGauCAeiGlVot6ZPtzthiY4wp2ZL2aAeri8dT6j3hnBxzIoqL689kH%2FtflnwdBwvRdiTefifVNflEfsTVIZL9FeawhIub49%2BvOWOqMd733iGXQvD5LjrkGZgWnAiqEgJYG2wl2rY23jDbVk4DqscpZT%2BrpfpA7%2BZ2%2FzX2FsdO%2Fj7l51mumn%2BI94u9786dzfQVVxmjU80FCwoa%2Bvob1KO51w%3D%3D,No J·Cotei desde Mar/2020,https://images-americanas.b2w.io/produtos/01/00/img/262999/4/262999467P1.jpg,Mon Apr 27 23:07:48 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5î, iOS 13, Tripla C‚mera Traseira, Resistente ‡ ¡gua e Bateria de Longa DuraÁ„o - Dourado","R$ 7.904,15","R$ 7.904,15",https://track2.jacotei.com.br/r?h=eJxNUcFO4zAQ%2FZWRD5zSNE4T0lSqImjZ5VC0FXDYW2XsSTGbxNbERiDEv%2B%2BkosueRm%2Fem9G8Nx%2FiFWm0bhArIVMpEhHePTLQndV%2FGHpyJuogVh8iUsfEcwh%2BXM3nJyK41LshuJasS7Xr0yeal1mWFUVeNTH0h9FF0rh%2BUdoFtBdTq0djY79mtVekjCNPqN2J0rwLh7A%2Br7jQLO%2F1efzw%2B243O8web3Y3XDb%2FFjA4T%2FDF2muxytJlmYhX1UU2U9VZkUrGg%2Bonb3b%2F7AYEKWFPDu7UG1x53yHwSVDK%2FOd1Ao%2FYKbjHYAcFt1swCJdJ2SRgfz2AXDBP1rNi0%2FRIipEa0ZJKeGS04%2BQBoYHmGBUgXKuAZNW0ZOeGo4JtJNU0Dmaw5XjYwXfscVDjaI8DGu65tkU6WMP9hVlmdSVrky9LrPJSGyN129ZV0eZ51k6PG4MjPKkXyzP6MryffgQ%2F%2BElTPnzO0dH7SVpW%2FzW%2B1BvsYqdIfDJFnKWoL41si%2FxJfP4F8XuzMw%3D%3D,No J·Cotei desde Mar/2020,https://www.pontofrio-imagens.com.br/Control/ArquivoExibir.aspx?IdArquivo=1175169469,Mon Apr 27 23:07:48 2020
