,modelo_celular,menor_preco,data_anuncio,tela,touchscreen,4g,3g,camera traseira,camera selfie,nfc,gravacao de video,dual chip,profundidade,formato,flash embutido,memoria interna,peso,tecnologia,android,ios,wind,brand,sem_recurso,auto rotacao,multitouch,resistente a respingos d'agua,force touch,curva,full hd,resistente a arranhoes,resistente a queda,3d,link_anuncio
326,smartphone asus zenfone 5z zs620kl desbloqueado gsm dual chip 256gb android 8.0 preto,3499,2018,6.2,1,1,1,12.0,8.0,1,rec_capacity_not_informed,1,0.78,barra,1,256.0,165.0,gsm,8.0,0.0,0.0,asus,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-asus-zenfone-5z-zs620kl-desbloqueado-gsm-dual-chip-256gb-android-8-0-preto/p
327,smartphone samsung galaxy note 10 sm-n970f/2dl 256gb desbloqueado dual chip android 9.0 prata,3499,2019,6.3,1,1,1,12.0,10.0,1,rec_capacity_not_informed,1,0.79,barra,0,256.0,168.0,tec_not_informed,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-note-10-sm-n970f-2dl-256gb-desbloqueado-dual-chip-android-9-0-prata/p
329,smartphone huawei mate 20 desbloqueado gsm 128gb dual chip android 9.0 pie preto,3468,2019,6.53,1,1,1,12.0,24.0,0,4k,1,0.83,barra,1,128.0,188.0,gsm,9.0,0.0,0.0,huawei,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-huawei-mate-20-desbloqueado-gsm-128gb-dual-chip-android-9-0-pie-preto/p
330,"iphone 7 apple 128gb desbloqueado 4g 4.7"" vermelho",3440,2017,4.7,1,1,1,12.0,7.0,1,4k,0,0.71,barra,1,128.0,138.0,tec_not_informed,0.0,10.0,0.0,apple,0,1,1,1,0,0,0,0,0,0,https://www.jacotei.com.br/iphone-7-apple-128gb-desbloqueado-4g-4-7-vermelho/p
331,"iphone xr apple 6.1"" desbloqueado 64gb preto",3399,2018,6.1,1,1,1,12.0,7.0,1,4k. hd,0,0.83,barra,1,64.0,195.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-64gb-preto/p
333,"smartphone sony xperia xz desbloqueado 32gb 4g 5.2"" android 6.0 prata + carregador portatil 8800 mah preto trust tr-20070i",3380,2019,5.2,1,1,1,23.0,13.0,1,full hd,0,0.8,barra,1,32.0,161.0,tec_not_informed,6.0,0.0,0.0,sony,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-sony-xperia-xz-desbloqueado-32gb-4g-5-2-android-6-0-prata-carregador-portatil-8800-mah-preto-trust-tr-20070i/p
334,"iphone 7 plus apple 32gb desbloqueado 4g 5.5"" ouro rosa",3364,2016,5.5,1,1,1,12.0,7.0,1,4k,0,0.73,barra,1,32.0,188.0,tec_not_informed,0.0,10.0,0.0,apple,0,1,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/iphone-7-plus-apple-32gb-desbloqueado-4g-5-5-ouro-rosa/p
335,smartphone samsung galaxy s9+ sm-g9650 desbloqueado 4g 128gb single chip android 8.0 preto,3358,2018,6.2,1,1,1,12.0,8.0,1,4k,0,0.85,barra,1,128.0,160.0,gsm,8.0,0.0,0.0,samsung,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s9-sm-g9650-desbloqueado-4g-128gb-single-chip-android-8-0-preto/p
336,smartphone xiaomi mi note 10 desbloqueado 128gb dual chip versao global android 9.0 preto,3350,2019,6.47,1,1,1,108.0,32.0,1,rec_capacity_not_informed,1,3.422811501597444,barra,1,128.0,171.99525423728812,tec_not_informed,9.0,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-xiaomi-mi-note-10-desbloqueado-128gb-dual-chip-versao-global-android-9-0-preto/p
337,"iphone xr apple 6.1"" desbloqueado 64gb vermelho",3347,2018,6.1,1,1,1,12.0,7.0,1,4k. hd,0,0.83,barra,1,64.0,195.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-64gb-vermelho/p
338,"iphone xr apple 6.1"" desbloqueado 64gb branco",3347,2018,6.1,1,1,1,12.0,7.0,1,4k. hd,0,0.83,barra,1,64.0,195.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-64gb-branco/p
340,"iphone se apple 64gb 4"" 4g ios 9 branco",3329,2020,4.0,1,1,1,12.0,1.2,1,4k,0,7.6,barra,1,64.0,113.0,gsm,0.0,9.0,0.0,apple,0,1,1,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-se-apple-64gb-4-4g-ios-9-branco/p
341,"iphone 8 plus apple 64gb 5.5"" desbloqueado prata",3315,2017,5.5,1,1,1,12.0,7.0,1,4k. hd,0,0.75,barra,1,64.0,202.0,tec_not_informed,0.0,11.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-8-plus-apple-64gb-5-5-desbloqueado-prata/p
342,smartphone samsung galaxy a80 sm-a805f desbloqueado 128gb dual chip android 9.0 preto,3299,2019,6.7,1,1,1,48.0,0.0,1,4k,1,3.422811501597444,barra,1,128.0,171.99525423728812,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a80-sm-a805f-desbloqueado-128gb-dual-chip-android-9-0-preto/p
