,modelo_celular,menor_preco,data_anuncio,tela,touchscreen,4g,3g,camera traseira,camera selfie,nfc,gravacao de video,dual chip,profundidade,formato,flash embutido,memoria interna,peso,tecnologia,android,ios,wind,brand,sem_recurso,auto rotacao,multitouch,resistente a respingos d'agua,force touch,curva,full hd,resistente a arranhoes,resistente a queda,3d,link_anuncio,cluster
1,smartphone huawei p20 pro desbloqueado 128gb android 8.1 crepusculo,16241,2018,6.1,1,1,1,40.0,24.0,1,rec_capacity_not_informed,0,3.1163013698630135,barra,1,128.0,180.0,gsm,8.1,0.0,0.0,huawei,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-huawei-p20-pro-desbloqueado-128gb-android-8-1-crepusculo/p,151
13,"iphone 11 pro max apple 512gb 6.5"" desbloqueado dourado",8499,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,217
14,"iphone x apple 256gb 5.8"" desbloqueado prata",8365,2017,5.8,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,256.0,174.0,gsm,0.0,11.0,0.0,apple,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/iphone-x-apple-256gb-5-8-desbloqueado-prata/p,199
18,"iphone 11 pro max apple 512gb 6.5"" desbloqueado cinza espacial",8338,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-cinza-espacial/p,217
19,"iphone 11 pro max apple 512gb 6.5"" desbloqueado prata",8338,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-prata/p,217
22,"iphone 11 pro max apple 512gb 6.5"" desbloqueado verde",8183,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-verde/p,217
23,smartphone samsung galaxy z flip sm-f700f desbloqueado dual chip 256gb android 10.0 preto,8099,2020,6.7,1,1,1,12.0,10.0,1,rec_capacity_not_informed,1,3.96212962962963,flip,1,256.0,161.71428571428572,tec_not_informed,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-z-flip-sm-f700f-desbloqueado-dual-chip-256gb-android-10-0-preto/p,37
25,"smartphone samsung galaxy z flip sm-f700fz dual chip 256gb 8gb ram 6.7"" ultravioleta",8099,2020,6.7,1,1,1,10.0,12.0,1,rec_capacity_not_informed,1,6.7,flip,1,256.0,175.0,tec_not_informed,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-z-flip-sm-f700fz-dual-chip-256gb-8gb-ram-6-7-ultravioleta/p,37
26,"smartphone motorola razr 128gb 6gb 6.2"" desbloqueado android 9 black",8099,2020,6.2,1,1,1,16.0,5.0,0,rec_capacity_not_informed,0,3.96212962962963,flip,0,128.0,161.71428571428572,tec_not_informed,9.0,0.0,0.0,motorola,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-motorola-razr-128gb-6gb-6-2-desbloqueado-android-9-black/p,155
31,iphone xs max apple oled 6.5'' desbloqueado 256gb prata,7954,2018,6.5,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,256.0,208.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-256gb-cinza-espacial-copia-de-13376351/p,202
32,smartphone samsung galaxy s20+ sm-g985f desbloqueado dual chip 128gb android 10 cloud blue + relogio galaxy watch active 2,7899,2020,6.7,1,1,1,12.0,10.0,1,4k,1,0.78,barra,1,128.0,186.0,tec_not_informed,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-sm-g985f-desbloqueado-dual-chip-128gb-android-10-cloud-blue-relogio-galaxy-watch-active-2/p,39
33,"iphone apple 11 pro 512gb desbloqueado 5.8"" verde",7799,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-512gb-desbloqueado-5-8-verde/p,72
34,iphone xs max apple oled 6.5'' desbloqueado 256gb cinza espacial,7799,2018,6.5,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,256.0,208.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-256gb-cinza-espacial/p,202
35,"iphone apple 11 pro 512gb desbloqueado 5.8"" prata",7699,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-512gb-desbloqueado-5-8-prata/p,72
36,"iphone apple 11 pro 512gb desbloqueado 5.8"" dourado",7699,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-512gb-desbloqueado-5-8-dourado/p,72
37,"smartphone samsung galaxy s20 sm-g980f desbloqueado dual chip 128gb android 10 cloud pink + smart tv led 65"" samsung ru7100 ultra hd 4k",7599,2020,6.2,1,1,1,64.0,10.0,1,rec_capacity_not_informed,1,0.79,barra,1,128.0,163.0,gsm,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-sm-g980f-desbloqueado-dual-chip-128gb-android-10-cloud-pink-smart-tv-led-65-samsung-ru7100-ultra-hd-4k/p,52
38,"iphone xs apple oled 5.8"" desbloqueado 256gb 4g prata",7569,2018,5.8,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,256.0,177.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-apple-oled-5-8-desbloqueado-256gb-4g-prata/p,4
39,"iphone 11 pro max apple 256gb 6.5"" desbloqueado cinza espacial",7559,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,256.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-256gb-6-5-desbloqueado-cinza-espacial/p,202
40,"iphone 11 pro max apple 256gb 6.5"" desbloqueado dourado",7559,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,256.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-256gb-6-5-desbloqueado-dourado/p,202
41,"iphone 11 pro max apple 256gb 6.5"" desbloqueado verde",7559,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,256.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-256gb-6-5-desbloqueado-verde/p,202
42,"iphone 11 pro max apple 256gb 6.5"" desbloqueado prata",7559,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,256.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-256gb-6-5-desbloqueado-prata/p,202
44,smartphone caterpillar cat s61 desbloqueado 64gb dual chip android 8.0 preto,7490,2018,5.2,1,1,1,16.0,8.0,1,rec_capacity_not_informed,1,1.3,barra,1,64.0,164.09353233830848,gsm,8.0,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-caterpillar-cat-s61-desbloqueado-64gb-dual-chip-android-8-0-preto/p,168
45,"iphone apple 11 pro 512gb desbloqueado 5.8"" cinza espacial",7439,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,512.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-512gb-desbloqueado-5-8-cinza-espacial/p,72
46,"smartphone lenovo z6 lite 64gb 6.3"" desbloqueado verde",7344,2020,6.3,1,1,1,0.0,16.0,0,rec_capacity_not_informed,0,3.96212962962963,barra,0,64.0,161.71428571428572,tec_not_informed,0.0,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-lenovo-z6-lite-64gb-6-3-desbloqueado-verde/p,80
55,smartphone samsung galaxy s20 ultra sm-g988b desbloqueado dual chip 128gb android 10 cinza,7199,2020,6.9,1,1,1,108.0,40.0,1,rec_capacity_not_informed,1,0.88,barra,1,128.0,161.71428571428572,tec_not_informed,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-ultra-sm-g988b-desbloqueado-dual-chip-128gb-android-10-cinza/p,165
61,"iphone apple 11 pro 256gb desbloqueado 5.8"" dourado",7019,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,256.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-256gb-desbloqueado-5-8-dourado/p,4
62,"iphone apple 11 pro 256gb desbloqueado 5.8"" verde",7019,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,256.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-256gb-desbloqueado-5-8-verde/p,4
63,"iphone apple 11 pro 256gb desbloqueado 5.8"" cinza espacial",7019,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,256.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-256gb-desbloqueado-5-8-cinza-espacial/p,4
64,"iphone 11 pro 256gb desbloqueado 5.8"" prata",7019,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,256.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-256gb-desbloqueado-5-8-prata/p,4
65,smartphone samsung galaxy s20 ultra sm-g988b desbloqueado dual chip 512gb android 10 preto,6999,2020,6.9,1,1,1,108.0,40.0,1,rec_capacity_not_informed,1,0.88,barra,1,512.0,161.71428571428572,tec_not_informed,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-ultra-sm-g988b-desbloqueado-dual-chip-512gb-android-10-preto/p,119
66,"iphone xr apple 6.1"" desbloqueado 64gb preto + apple watch series 4 cellular",6927,2020,6.1,1,1,1,12.0,7.0,1,4k. hd,0,0.83,barra,1,64.0,195.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-64gb-preto-apple-watch-series-4-cellular/p,84
67,smartphone lenovo z5s desbloqueado 64gb tangerina,6911,2020,6.3,1,1,1,16.0,16.0,0,rec_capacity_not_informed,0,3.96212962962963,barra,1,64.0,161.71428571428572,tec_not_informed,0.0,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-lenovo-z5s-desbloqueado-64gb-tangerina/p,200
68,smartphone xiaomi black shark gamer 2 desbloqueado 128gb android 9.0 preto,6899,2019,6.39,1,1,1,12.0,20.0,0,4k,0,3.422811501597444,barra,1,128.0,190.0,gsm,9.0,0.0,0.0,xiaomi,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-xiaomi-black-shark-gamer-2-desbloqueado-128gb-android-9-0-preto/p,153
71,"iphone 11 pro max apple 64gb 6.5"" desbloqueado dourado",6799,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,64.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-64gb-6-5-desbloqueado-dourado/p,223
72,"iphone 11 pro max apple 64gb 6.5"" desbloqueado prata",6799,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,64.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-64gb-6-5-desbloqueado-prata/p,223
73,"iphone xr apple 6.1"" desbloqueado 64gb branco + apple watch series 4 cellula",6741,2020,6.1,1,1,1,12.0,7.0,1,4k. hd,0,0.83,barra,1,64.0,195.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-64gb-branco-apple-watch-series-4-cellula/p,84
74,smartphone samsung galaxy s10+ sm-g975f desbloqueado 1tb dual chip android 9.0 ceramic black,6669,2019,6.4,1,1,1,12.0,10.0,1,rec_capacity_not_informed,1,0.78,barra,1,1.0,198.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-desbloqueado-1tb-dual-chip-android-9-0-ceramic-black/p,168
75,"iphone 11 pro max apple 64gb 6.5"" desbloqueado verde",6599,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,64.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-64gb-6-5-desbloqueado-verde/p,223
76,"iphone 11 pro max apple 64gb 6.5"" desbloqueado cinza",6599,2019,6.5,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,64.0,224.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-11-pro-max-apple-64gb-6-5-desbloqueado-cinza/p,223
79,iphone xs max apple oled 6.5'' desbloqueado 512gb cinza-espacial,6509,2018,6.5,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,512.0,208.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-512gb-cinza-espacial/p,217
81,iphone xs max apple oled 6.5'' desbloqueado 512gb prata,6509,2018,6.5,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,512.0,208.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-512gb-prata/p,217
82,iphone xs max apple oled 6.5'' desbloqueado 512gb dourado,6509,2018,6.5,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,512.0,208.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-512gb-dourado/p,217
83,"iphone apple 11 pro 64gb desbloqueado 5.8"" prata",6299,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,64.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-64gb-desbloqueado-5-8-prata/p,143
84,"iphone apple 11 pro 64gb desbloqueado 5.8"" verde",6299,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,64.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-64gb-desbloqueado-5-8-verde/p,143
85,"iphone apple 11 pro 64gb desbloqueado 5.8"" cinza espacial",6299,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,64.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-64gb-desbloqueado-5-8-cinza-espacial/p,143
86,"iphone apple 11 pro 64gb desbloqueado 5.8"" dourado",6299,2019,5.8,1,1,1,12.0,12.0,1,4k. hd,0,0.8,barra,1,64.0,188.0,tec_not_informed,0.0,13.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-apple-11-pro-64gb-desbloqueado-5-8-dourado/p,143
89,"iphone xr apple 6.1"" desbloqueado 256gb preto",6199,2018,6.1,1,1,1,12.0,7.0,1,4k. hd,0,0.83,barra,1,256.0,195.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-256gb-preto/p,202
90,smartphone samsung galaxy s20+ sm-g985f desbloqueado dual chip 128gb android 10 + capa clear view,6199,2020,6.7,1,1,1,64.0,10.0,1,4k,1,0.78,barra,1,128.0,186.0,tec_not_informed,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-sm-g985f-desbloqueado-dual-chip-128gb-android-10-capa-clear-view/p,64
92,smartphone huawei mate 20x desbloqueado dual chip 256gb android 9.0 pie azul,6132,2020,7.2,1,1,1,40.0,24.0,0,rec_capacity_not_informed,1,0.82,barra,0,256.0,161.71428571428572,gsm,9.0,0.0,0.0,huawei,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-huawei-mate-20x-desbloqueado-dual-chip-256gb-android-9-0-pie-azul/p,170
101,"smartphone samsung galaxy s20+ sm-g985f desbloqueado dual chip 128gb android 10 preto  + smart tv led 65"" samsung ru7100 ultra hd 4k",5999,2020,6.7,1,1,1,12.0,10.0,1,4k,1,3.96212962962963,barra,1,128.0,161.71428571428572,tec_not_informed,10.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-sm-g985f-desbloqueado-dual-chip-128gb-android-10-preto-smart-tv-led-65-samsung-ru7100-ultra-hd-4k/p,39
104,iphone xs max apple oled 6.5'' desbloqueado 64gb dourado,5858,2018,6.5,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,64.0,208.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-64gb-dourado/p,162
105,iphone xs max apple oled 6.5'' desbloqueado 64gb cinza espacial,5858,2018,6.5,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,64.0,208.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-64gb-cinza-espacial/p,162
106,"iphone xr apple 6.1"" desbloqueado 64gb preto + apple watch series 4",5857,2020,6.1,1,1,1,12.0,7.0,1,4k. hd,0,0.83,barra,1,64.0,195.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-64gb-preto-apple-watch-series-4/p,84
107,smartphone samsung galaxy s10+ sm-g975f desbloqueado gsm 128gb android 9.0 pie branco + carregador sem fio premium afc preto,5819,2019,6.4,1,1,1,12.0,10.0,1,4k,1,0.78,barra,1,128.0,175.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-sm-g975f-desbloqueado-gsm-128gb-android-9-0-pie-branco-carregador-sem-fio-premium-afc-preto/p,5
108,smartphone samsung galaxy s10+ desbloqueado gsm 128gb dual chip azul + carregador sem fio premium afc preto,5819,2019,6.4,1,1,1,12.0,10.0,1,4k,1,0.78,barra,1,128.0,175.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-desbloqueado-gsm-128gb-dual-chip-azul-carregador-sem-fio-premium-afc-preto/p,5
109,smartphone samsung galaxy s10+ plus sm-g975f desbloqueado gsm 128gb android 9.0 pie preto + carregador sem fio premium samsung afc preto,5819,2019,6.4,1,1,1,12.0,10.0,1,4k,1,0.78,barra,1,128.0,175.0,gsm,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s10-plus-sm-g975f-desbloqueado-gsm-128gb-android-9-0-pie-preto-carregador-sem-fio-premium-samsung-afc-preto/p,5
110,"smartphone samsung galaxy s8 sm-g950fd desbloqueado gsm dual chip tela 5.8"" 64gb android 7.0 prata",5815,2017,5.8,1,1,1,12.0,8.0,1,4k,1,0.8,barra,1,64.0,155.0,gsm,7.0,0.0,0.0,samsung,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s8-sm-g950fd-desbloqueado-gsm-dual-chip-tela-5-8-64gb-android-7-0-prata/p,62
117,smartphone samsung galaxy s7 edge sm-g935f desbloqueado gsm 4g 32gb single chip android 6.0 prata,5694,2016,5.5,1,1,1,12.0,5.0,1,4k,0,0.77,barra,1,32.0,157.0,gsm,6.0,0.0,0.0,samsung,0,0,0,0,0,1,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s7-edge-sm-g935f-desbloqueado-gsm-4g-32gb-single-chip-android-6-0-prata/p,12
118,iphone xs max apple oled 6.5'' desbloqueado 64gb prata,5579,2018,6.5,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,64.0,208.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-max-apple-oled-6-5-desbloqueado-64gb-prata/p,162
121,"iphone xr apple 6.1"" desbloqueado 256gb coral",5499,2018,6.1,1,1,1,12.0,7.0,1,4k. hd,0,0.83,barra,1,256.0,195.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-256gb-coral/p,202
122,"iphone xs apple oled 5.8"" desbloqueado 64gb 4g prata",5499,2018,5.8,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,64.0,177.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-apple-oled-5-8-desbloqueado-64gb-4g-prata/p,162
124,"iphone xs apple oled 5.8"" desbloqueado 64gb 4g dourado",5499,2018,5.8,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,64.0,177.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-apple-oled-5-8-desbloqueado-64gb-4g-dourado/p,162
126,"iphone xs apple oled 5.8"" desbloqueado 64gb 4g cinza espacial",5499,2018,5.8,1,1,1,12.0,7.0,1,4k. hd,0,0.77,barra,1,64.0,177.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xs-apple-oled-5-8-desbloqueado-64gb-4g-cinza-espacial/p,162
127,"iphone xr apple 6.1"" desbloqueado 256gb amarelo",5499,2018,6.1,1,1,1,12.0,7.0,1,4k. hd,0,0.83,barra,1,256.0,195.0,tec_not_informed,0.0,12.0,0.0,apple,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-256gb-amarelo/p,202
129,"smartphone samsung galaxy s8 sm-g950fd desbloqueado gsm dual chip tela 5.8"" 64gb android 7.0 prata + gear s3 classic samsung 4gb preto",5494,2019,5.8,1,1,1,12.0,8.0,1,4k,1,0.8,barra,1,64.0,155.0,gsm,7.0,0.0,0.0,samsung,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s8-sm-g950fd-desbloqueado-gsm-dual-chip-tela-5-8-64gb-android-7-0-prata-gear-s3-classic-samsung-4gb-preto/p,62
130,smartphone samsung galaxy s8 sm-g950f 64gb desbloqueado dual chip android 7.0 preto + gear s3 classic samsung preto,5494,2019,5.8,1,1,1,12.0,8.0,1,4k,1,0.8,barra,1,64.0,171.99525423728812,gsm,7.0,0.0,0.0,samsung,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s8-sm-g950f-64gb-desbloqueado-dual-chip-android-7-0-preto-gear-s3-classic-samsung-preto/p,62
131,"smartphone samsung galaxy s8 sm-g950fd desbloqueado gsm dual chip tela 5.8"" 64gb android 7.0 ametista + gear s3 frontier samsung preto",5494,2019,5.8,1,1,1,12.0,8.0,1,4k,1,0.8,barra,1,64.0,155.0,gsm,7.0,0.0,0.0,samsung,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s8-sm-g950fd-desbloqueado-gsm-dual-chip-tela-5-8-64gb-android-7-0-ametista-gear-s3-frontier-samsung-preto/p,62
132,smartphone samsung galaxy s8 sm-g950f 64gb desbloqueado dual chip android 7.0 preto + gear s3 frontier samsung preto,5494,2019,5.8,1,1,1,12.0,8.0,1,4k,1,0.8,barra,1,64.0,171.99525423728812,gsm,7.0,0.0,0.0,samsung,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s8-sm-g950f-64gb-desbloqueado-dual-chip-android-7-0-preto-gear-s3-frontier-samsung-preto/p,62
133,smartphone samsung galaxy s8 sm-g950f 64gb desbloqueado dual chip android 7.0 prata + gear s3 frontier samsung preto,5494,2019,5.8,1,1,1,12.0,8.0,1,4k,1,0.8,barra,1,64.0,171.99525423728812,gsm,7.0,0.0,0.0,samsung,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s8-sm-g950f-64gb-desbloqueado-dual-chip-android-7-0-prata-gear-s3-frontier-samsung-preto/p,62
134,"smartphone samsung galaxy s8 sm-g950fd desbloqueado gsm dual chip tela 5.8"" 64gb android 7.0 ametista + gear s3 classic samsung 4gb preto",5494,2019,5.8,1,1,1,12.0,8.0,1,4k,1,0.8,barra,1,64.0,155.0,gsm,7.0,0.0,0.0,samsung,0,0,0,1,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-s8-sm-g950fd-desbloqueado-gsm-dual-chip-tela-5-8-64gb-android-7-0-ametista-gear-s3-classic-samsung-4gb-preto/p,62
