,modelo_celular,menor_preco,data_anuncio,tela,touchscreen,4g,3g,camera traseira,camera selfie,nfc,gravacao de video,dual chip,profundidade,formato,flash embutido,memoria interna,peso,tecnologia,android,ios,wind,brand,sem_recurso,auto rotacao,multitouch,resistente a respingos d'agua,force touch,curva,full hd,resistente a arranhoes,resistente a queda,3d,link_anuncio,cluster
1123,smartphone samsung galaxy a20s sm-a207m desbloqueado 32gb android 9.0 preto + cartao de memoria 32gb,1149,2020,6.5,1,1,1,13.0,8.0,0,rec_capacity_not_informed,1,0.8,barra,1,32.0,178.0,tec_not_informed,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a20s-sm-a207m-desbloqueado-32gb-android-9-0-preto-cartao-de-memoria-32gb/p,209
1124,smartphone samsung galaxy a20s sm-a207m desbloqueado 32gb android 9.0 azul + cartao de memoria 32 gb,1149,2020,6.5,1,1,1,13.0,8.0,0,rec_capacity_not_informed,1,0.8,barra,1,32.0,178.0,tec_not_informed,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a20s-sm-a207m-desbloqueado-32gb-android-9-0-azul-cartao-de-memoria-32-gb/p,209
1125,smartphone samsung galaxy a20s sm-a207m desbloqueado 32gb android 9.0 vermelho + cartao de memoria 32gb,1129,2020,6.5,1,1,1,13.0,8.0,0,rec_capacity_not_informed,1,0.8,barra,1,32.0,178.0,tec_not_informed,9.0,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a20s-sm-a207m-desbloqueado-32gb-android-9-0-vermelho-cartao-de-memoria-32gb/p,209
1126,smartphone asus zenfone max pro m1 desbloqueado dual chip 32gb android 8.0 prata,1115,2018,6.0,1,1,1,13.0,8.0,0,4k,1,0.84,barra,0,32.0,180.0,gsm,8.0,0.0,0.0,asus,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-asus-zenfone-max-pro-m1-desbloqueado-dual-chip-32gb-android-8-0-prata/p,94
1127,"smartphone lg k41s lm-k410 32gb 6.55"" desbloqueado dual chip android 9.0 pie titanio",1115,2020,6.5,1,1,1,13.0,8.0,0,rec_capacity_not_informed,1,3.96212962962963,barra,1,32.0,161.71428571428572,tec_not_informed,9.0,0.0,0.0,lg,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-lg-k41s-lm-k410-32gb-6-55-desbloqueado-dual-chip-android-9-0-pie-titanio/p,1
1129,smartphone motorola one macro xt2016-2 64gb desbloqueado android 9.0 ultra violeta,1101,2019,6.2,1,1,1,13.0,8.0,0,rec_capacity_not_informed,1,0.9,barra,0,64.0,183.0,tec_not_informed,9.0,0.0,0.0,motorola,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-motorola-one-macro-xt2016-2-64gb-desbloqueado-android-9-0-ultra-violeta/p,40
1130,smartphone lenovo k8 plus xt1902 desbloqueado gsm 32gb android 7.1 branco e dourado,1100,2018,5.2,1,1,1,13.0,8.0,0,rec_capacity_not_informed,1,0.89,barra,1,32.0,165.0,gsm,7.1,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-lenovo-k8-plus-xt1902-desbloqueado-gsm-32gb-android-7-1-branco-e-dourado/p,75
1132,smartphone motorola moto g6 xt1925 desbloqueado dual chip 32gb android 8.0 indigo,1099,2018,5.7,1,1,1,12.0,8.0,0,rec_capacity_not_informed,1,0.83,barra,1,32.0,162.0,tec_not_informed,8.0,0.0,0.0,motorola,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/smartphone-motorola-moto-g6-xt1925-desbloqueado-dual-chip-32gb-android-8-0-indigo/p,97
1134,smartphone samsung galaxy a7 2016 duos sm-a710m/ds desbloqueado gsm dual chip 4g android 5.1 16gb,1099,2016,5.5,1,1,1,13.0,5.0,1,full hd,1,0.74,barra,1,16.0,155.0,gsm,5.1,0.0,0.0,samsung,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-samsung-galaxy-a7-2016-duos-sm-a710m-ds-desbloqueado-gsm-dual-chip-4g-android-5-1-16gb/p,177
1135,smartphone asus zenfone 3 ze520kl 4g desbloqueado gsm dual chip 16gb android 6.0 preto,1099,2017,5.2,1,1,1,16.0,8.0,0,4k,1,0.76,barra,1,16.0,150.0,gsm,6.0,0.0,0.0,asus,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/smartphone-asus-zenfone-3-ze520kl-4g-desbloqueado-gsm-dual-chip-16gb-android-6-0-preto/p,49
1136,smartphone asus zenfone 3 ze520kl 4g android 6.0 desbloqueado gsm dual chip 16gb dourado,1099,2017,5.2,1,1,1,16.0,8.0,0,4k,1,0.76,barra,1,16.0,150.0,gsm,6.0,0.0,0.0,asus,0,0,0,0,0,0,1,0,0,0,https://www.jacotei.com.br/smartphone-asus-zenfone-3-ze520kl-4g-android-6-0-desbloqueado-gsm-dual-chip-16gb-dourado/p,49
1137,smartphone motorola moto g6 play xt1922 desbloqueado dual chip 32gb android 8.0 preto,1099,2019,5.7,1,1,1,13.0,8.0,0,rec_capacity_not_informed,1,0.89,barra,1,32.0,170.0,gsm,8.0,0.0,0.0,motorola,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-motorola-moto-g6-play-xt1922-desbloqueado-dual-chip-32gb-android-8-0-preto/p,183
1138,"smartphone quantum muv pro q5 4g 6.0 marshmallow 32gb tela 5.5"" azul",1099,2017,5.5,1,0,0,16.0,8.0,0,rec_capacity_not_informed,0,0.82,barra,1,32.0,148.0,tec_not_informed,6.0,0.0,0.0,other,1,0,0,0,0,0,0,0,0,0,https://www.jacotei.com.br/smartphone-quantum-muv-pro-q5-4g-6-0-marshmallow-32gb-tela-5-5-azul/p,175
