,modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio
613,"Smartphone Tela 6,3 Pol. Full Hd Câmera Preto Multilaser","R$ 1.599,04","R$ 1.599,04", Mar/2020,submarino.b2w.io,https://track2.jacotei.com.br/r?h=eJxNkVFr2zAUhf%2BKEThPqSNLliwFQuk6wh62tdB1r%2BVaumpNFcuT5YZS%2Bt%2BnuAsr6EH3O0dw7tEbecE49WEgW1JXNVmT9DpiHozvzXMexxjsbBLZvpE5%2Biw8pTRO280mRTDPGFkFViz3yoTDmW6W55dgzE6almkHYCxHA50VjDJ0BhunFNacrvqd0KpGYx2i4dZ1dVbahlGxCjuBrNY1RadQC4SsI22UaVcRbR%2FRpIecardkKvlVyfb5HI%2FHapq7A8R%2BCKdUVRczXjZJId%2FqppGNZrLVJd%2BHcSj516v99583v2%2Fu7r%2BUTOIIMbOOHcH1vgcbpkxdhOHPh%2FWC8gtGuTz1ZUZDtrRSYk1ewM%2B5u1poXdFmTQY4nKq8y0nS%2BBQGLH6hh0KueXEbfFXsZ%2B%2BLb7a4vjxghOI2YgrFj9mn3sOE8f9nzANMU%2F84oM0sOIfxobeZa62gQ8ZaqbRy2HCuOiq51kxJa6TK7imFiIu71qI5z%2Bdk55ZOe0DCxxBfF69oP4F%2F5mv0s4dI3rMU884EQVowKMj7XwrItsw%3D
614,"Smartphone Tela 6,3 Pol. Full Hd Câmera Preto Multilaser","R$ 1.599,04","R$ 1.599,04", Mar/2020,shoptime.b2w.io,https://track2.jacotei.com.br/r?h=eJxNkUFr4zAQhf%2BKESSn1LEky7YCoZQuoYddNtDey1gaNaay5ZXlhlL633fiTWBBB803T8Obpy%2F2gXHqwsB2jOecbVj6HJEK4zvzTuUYg51NYrsvNkdPjVNK47TbblME845R5GDVcs9N6G90uzy%2FB2P2StvaKdcqWXNeNQXXTtvSWcDWlCD0uiNJw9G0CtFI61rumqbmNHYd9goF1wWvXINaIVAfi7Is5Dqi7SKa9Equ9ounlXxYiQOd8%2FmcT6cwpq7Hi6m8jUSXRVKgGy%2FLqtSiqvVKHsI4rOSPh8PP56ffx5WocIRIoBVncJ3vwIaJqIsw%2FPmnuyvknShkxQmfPDEfzhgpKTMativyRm3YB%2FiZQuRK67woN2yA%2FpLpcw8xjacwYPaCHrJqI7Nj8Hl2mL3Pnmz2eN9jhOwYMYXs1%2BxT52Fahl9%2FZR5gmrq3AS2x4BzG184St1Bpo1vn2lJROrVQqhQNL2tdQVFLIPWUQsRF3RS36ubrGtZlCUj4FuLnIlT1f%2BCqfUQ%2Fe4jsm1qRFmYOnBRCOfb9F70Ot44%3D
615,"Smartphone Tela 6,3 Pol. Full Hd Câmera Preto Multilaser","R$ 1.599,04","R$ 1.599,04", Mar/2020,americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUV1r4zAQ%2FCtG4DyljvVlW4FQQkq4hytXuL4XWVo1oorlynJDKf3vt%2FWlcAd62JmdFTO7H%2BQN0uTjQLaEVpSsSX4fAYEJ3rwgHFO0s8lk%2B0HmFLBxynmctptNTtq8QGKVtnKpKxPP3%2BxmGb%2FVxuyYMQ46xqyznbS8bxmXrRNWurpTzjUrv5Oqo2AUBTDcup66rmscBbaKOwmMqpoiBUqCxj7Uou5hlcD6BCY%2Foavd4qnk%2B5Id8V0ul0qfIXmjBz192ar6hPwSJUesqBCNUKxpVcmPLunhteR3%2B%2BPPm5rfsJo3tGQNjDoh27OLdj54beOEbByHv9L94dc94lNAGOIFEu7KjIZs66qTa%2FKmw4xrpFKpqhZrMqAhXN7vs055PMUBikcIumjWvHiIoSqOcwjFD1scbtG4Lh4S5FjczyH7oKfl8%2BtdZow0%2BecBLHLROUhP3iKvRK8aJjhrZd%2F11PSWWQCQyhnBoe1QPeWYYFFz%2BY2uvvb%2Fresris7wHNP7IpftP8R14gBhDjqRT2wljE2ASryssOTzD2RHuwU%3D
616,Smartphone Motorola Moto G7 XT1962-4 Desbloqueado 64GB Dual Chip Android 9.0 Pie Ônix + Pelicula Protetora De Vidro Moto G7,"R$ 1.599,00","R$ 1.599,00", Jul/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-motorola-moto-g7-xt1962-4-desbloqueado-64gb-dual-chip-android-9-0-pie-onix-pelicula-protetora-de-vidro-moto-g7/p
617,Smartphone Samsung Galaxy A50 SM-A505F Desbloqueado Dual Chip 128GB Android 9.0 Pie Azul,"R$ 1.599,00","R$ 1.599,00", Ago/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-a50-sm-a505f-desbloqueado-dual-chip-128gb-android-9-0-pie-azul/p
618,Smartphone Samsung Galaxy A50 Dual Desbloqueado Dual Chip 128GB Android 9.0 Pie Preto,"R$ 3.340,91","R$ 1.599,00", Ago/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-a50-dual-desbloqueado-dual-chip-128gb-android-9-0-pie-preto/p
619,Smartphone Sony Xperia L1 Desbloqueado Dual Chip 16GB Android,"R$ 1.599,00","R$ 1.599,00", Mai/2017,jacotei.com.br,https://www.jacotei.com.br/smartphone-sony-xperia-l1-desbloqueado-dual-chip-16gb-android/p
620,Smartphone Nokia 6 Desbloqueado GSM Dual Chip 32GB Android 7.1 Preto,"R$ 1.599,00","R$ 1.599,00", Set/2017,jacotei.com.br,https://www.jacotei.com.br/smartphone-nokia-6-desbloqueado-gsm-dual-chip-32gb-android-7-1-preto/p
621,Smartphone Sony Xperia L1 Desbloqueado Dual Chip 16GB Android Branco,"R$ 1.599,00","R$ 1.599,00", Mai/2017,jacotei.com.br,https://www.jacotei.com.br/smartphone-sony-xperia-l1-desbloqueado-dual-chip-16gb-android-branco/p
622,Smartphone Sony Xperia L1 Desbloqueado Dual Chip 16GB Android 7.0 Rose,"R$ 1.599,00","R$ 1.599,00", Mai/2017,jacotei.com.br,https://www.jacotei.com.br/smartphone-sony-xperia-l1-desbloqueado-dual-chip-16gb-android-7-0-rose/p
623,Smartphone Multilaser H NB777 Desbloqueado Dual Chip 128GB Android 9 Pie Preto,"R$ 1.599,04","R$ 1.599,00", Dez/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-multilaser-h-nb777-desbloqueado-dual-chip-128gb-android-9-pie-preto/p
624,Smartphone Huawei P30 Lite Desbloqueado 128GB Single Chip Android 9.0 Pie Azul,"R$ 1.599,00","R$ 1.599,00", Mai/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-huawei-p30-lite-desbloqueado-128gb-single-chip-android-9-0-pie-azul/p
625,Smartphone Samsung Galaxy A8 Plus SM-A730F Desbloqueado GSM Dual Chip 64GB Android 7.1,"R$ 2.620,43","R$ 1.599,00", Fev/2018,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-a8-plus-sm-a730f-desbloqueado-gsm-dual-chip-64gb-android-7-1/p
626,Smartphone Xiaomi Mi Max 2 Desbloqueado GSM Dual Chip 64GB Android 7.1 Preto,"R$ 1.598,00","R$ 1.598,00", Set/2017,jacotei.com.br,https://www.jacotei.com.br/smartphone-xiaomi-mi-max-2-desbloqueado-gsm-dual-chip-64gb-android-7-1-preto/p
627,Smartphone Xiaomi Mi Max 3 Desbloqueado 64GB Dual Chip Android 8.1 Preto,"R$ 1.598,00","R$ 1.598,00", Nov/2018,jacotei.com.br,https://www.jacotei.com.br/smartphone-xiaomi-mi-max-3-desbloqueado-64gb-dual-chip-android-8-1-preto/p
628,iPhone 6s Apple 4G 32GB 4.7” Dourado,"R$ 2.324,07","R$ 1.595,91", Set/2016,jacotei.com.br,https://www.jacotei.com.br/iphone-6s-apple-4g-32gb-4-7-dourado/p
629,Smartphone Huawei Mate 20 Lite SNE-LX3 Desbloqueado Dual Chip 64GB Android 8.1 Preto,"R$ 1.595,00","R$ 1.595,00", Mar/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-huawei-mate-20-lite-sne-lx3-desbloqueado-dual-chip-64gb-android-8-1-preto/p
630,Smartphone Huawei Mate 20 Lite SNE-LX3 Desbloqueado Dual Chip 64GB Android 8.1 Dourado,"R$ 1.764,29","R$ 1.595,00", Mar/2019,jacotei.com.br,https://www.jacotei.com.br/smartphone-huawei-mate-20-lite-sne-lx3-desbloqueado-dual-chip-64gb-android-8-1-dourado/p
631,"Iphone 6 32GB Dourado, Tela 4.7"" IOS 8, Câmera 8MP, 4G Processador 1.4 Ghz Dual Core - Apple","R$ 1.590,00","R$ 1.590,00", Mar/2020,americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUe9r2zAQ%2FVeEIPnkOPphyXIglCwhobDSwvZxUGTp1Ji6lifbDV3p%2F76r17IN9OHeu3fHu6dX%2BgxpaGJHN5TnnGZ0fOkBgWsb94iwT9FPbqSbVzqlFhvnceyHzXo9JuseIYncejXXuYtPn%2Bx6Hr%2Byzm2FcwGMED54o7ysSyFVGQqvAjNVCHrZbFVlOLiKAzjpQ82DMTpwEMu4VbVRBa8d1DWvrNPC2apkii8T%2BCaBG%2B%2FR1Xb2tJC7hTjiu1wuuX2C1Djb2eHdVl4n5OdTxohVwStdcGkW8hiS7X4u5GF3%2FLpiciWY1HwhNPQ2IVuLiw1N21gfB2Rj3%2F2R7va3N4jPLcI2XiBhUq53dMNyozL6bNsJQ%2BSqYjnLaIduMLnr%2Fhw7IJpIcfpCDnFKuDYj36G1pMjLH5Rc334jJiP7K3Rvibm5y0hxIncpOhgGFCfC84Kczr%2FIYbIt2ccEZEV2fd%2FC35%2Bb8OiheejAIxdDgHTfeOSZA63BAzO15oZ5LQKUoAvmnLGYPaqHETfOaqk%2B0Yf53X%2BBvp9rR3iI6WWWq%2FIf4mNiD%2B3U2kTfsJUwGmq9qJxlBX37DZE7w3k%3D
632,IPhone 6 32GB Apple Desbloqueado GSM Dourado,"R$ 1.741,65","R$ 1.590,00", Ago/2018,jacotei.com.br,https://www.jacotei.com.br/iphone-6-32gb-apple-desbloqueado-gsm-dourado/p
633,Smartphone Huawei Honor 8 Desbloqueado Dual Chip 64GB Android 7.0 Azul,"R$ 1.580,31","R$ 1.580,31", Jan/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-huawei-honor-8-desbloqueado-dual-chip-64gb-android-7-0-azul/p
634,Smartphone Huawei Honor 8 Desbloqueado Dual Chip 64GB Android 7.0 Preto,"R$ 1.580,31","R$ 1.580,31", Jan/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-huawei-honor-8-desbloqueado-dual-chip-64gb-android-7-0-preto/p
635,Smartphone Huawei P20 Lite Desbloqueado GSM 32GB Dual Chip Android 8.0 Azul,"R$ 1.580,15","R$ 1.580,15", Nov/2018,jacotei.com.br,https://www.jacotei.com.br/smartphone-huawei-p20-lite-desbloqueado-gsm-32gb-dual-chip-android-8-0-azul/p
636,Smartphone Xiaomi Mi 8 Lite 64GB 4GB RAM Azul,"R$ 1.580,00","R$ 1.580,00", Abr/2019,na.ssl-,https://track2.jacotei.com.br/r?h=eJxNUN9rwjAQ%2FldKHmQD1yZm%2FQllVB%2FGhsqYL2MvkiZXDbZJSVNFxf99qZO5g3B8393lvu%2FOaA%2Bmk1qhDBGfoDGyxxYc4LXkOwdbo0XPLcrOqDe1K2ytbbssCA6Hg88adtLK57rxSxOINpji%2BH0Zz79pGhioctbxtajWd5aESRjGUYKHCF4s2%2BQTTGIaRsnTBI%2B4AWblHnKaYErpHy5Wb8v8%2Fsuolmo30wLcAuU08pajDPtJOEZ7VvdOvtuDfTxGijWDmVXDjG23WoH3JZlupLeQXuLNpQUven6desP7LBZecerr%2Bw16xbpObhQIx%2BmqArOWwvEsSZmAtKywSxWNCY8IJRBFFJIJjajr7qw2cO2mZND1i29yiuvZvIcFMzuwHzXj8DjYYBY22hyvY2H8j7jNzaDua2bQxZWMs4zKVACuyghdfgBJZoxw
