,title,old_price,price,parcelas,image_link,product_link,produto_disponível
0,iPhone 11 Pro Max 256GB - Dourado,15023.76,15023.76,"Até 10xdeR$1.502,38  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h49/hdd/h00/h00/15110536626206.jpg,www.carrefour.com.br/iPhone-11-Pro-Max-256GB-Dourado/p/MP19827286,Sim
1,Smartphone / Apple / Iphone XS / Tela de 6 / Single Sim / 512GB - Cinza espacial,14864.5,14864.5,"Até 10xdeR$1.486,45  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hdd/ha6/h00/h00/14894015184926.jpg,www.carrefour.com.br/Smartphone-Apple-Iphone-XS-Tela-de-6-Single-Sim-512GB-Cinza-espacial/p/MP19604007,Sim
2,iPhone 11 Pro Max 256GB - Prateado,14758.33,14758.33,"Até 10xdeR$1.475,83  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h74/h39/h00/h00/15110535249950.jpg,www.carrefour.com.br/iPhone-11-Pro-Max-256GB-Prateado/p/MP19828793,Sim
3,iPhone 11 Pro Max 512GB - Prateado,9759.0,9759.0,"Até 10xdeR$975,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h30/h23/h00/h00/15110528040990.jpg,www.carrefour.com.br/iPhone-11-Pro-Max-512GB-Prateado/p/MP19830331,Sim
4,iPhone XS Max 512GB - Prata,9679.0,9679.0,"Até 10xdeR$967,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h45/h11/h00/h00/14683353120798.jpg,www.carrefour.com.br/iPhone-XS-Max-512GB-Prata/p/MP19229063,Sim
5,iPhone XS Max 512GB - Dourado,9679.0,9679.0,"Até 10xdeR$967,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h2a/hfc/h00/h00/13331497025566.jpg,www.carrefour.com.br/iPhone-XS-Max-512GB-Dourado/p/MP14012117,Sim
6,Apple Iphone XS Max 1921Ll Tela Retina HD de 5.5 Câmera 12MP 64GB - Cinza Espacial,9661.93,9661.93,"Até 10xdeR$966,19  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hfa/h3d/h00/h00/17480777334814.jpg,www.carrefour.com.br/Apple-Iphone-XS-Max-1921Ll-Tela-Retina-HD-de-5-5-Camera-12MP-64GB-Cinza-Espacial/p/MP23291818,Sim
7,iPhone 11 Pro Max 512GB - Prateado,9484.98,9484.98,"Até 10xdeR$948,50  sem juros",static.carrefour.com.br/medias/sys_master/images/images/he7/hf5/h00/h00/15082487414814.jpg,www.carrefour.com.br/iPhone-11-Pro-Max-512GB-Prateado/p/MP19885019,Sim
8,iPhone 11 Pro Max 512GB - Dourado,9484.98,9484.98,"Até 10xdeR$948,50  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h17/h10/h00/h00/15110529351710.jpg,www.carrefour.com.br/iPhone-11-Pro-Max-512GB-Dourado/p/MP19829652,Sim
9,iPhone 11 Pro Max 512GB - Verde meia-noite,9484.98,9484.98,"Até 10xdeR$948,50  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hf3/h6c/h00/h00/15110526074910.jpg,www.carrefour.com.br/iPhone-11-Pro-Max-512GB-Verde-meia-noite/p/MP19829651,Sim
10,Smartphone Samsung Galaxy Note 10+ 256GB 4G Tela 6.8` Octa-Core 12GB RAM Dual Chip - Prata,9438.96,9438.96,"Até 10xdeR$943,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h4c/hb5/h00/h00/15170310373406.jpg,www.carrefour.com.br/Smartphone-Samsung-Galaxy-Note-10-256GB-4G-Tela-6-8%60-Octa-Core-12GB-RAM-Dual-Chip-Prata/p/MP20036839,Sim
