,title,old_price,price,parcelas,image_link,product_link,produto_disponível
597,Smartphone Asus ZenFone L2 32GB Dourado Tela 5.5 Pol. Câmera 13MP Selfie 5MP Dual Chip Android Oreo ,749.0,749.0,"Até 10xdeR$83,22  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h26/h82/h00/h00/17491565281310.jpg,www.carrefour.com.br/Smartphone-Asus-ZenFone-L2-32GB-Dourado-Tela-5-5-Pol-Camera-13MP-Selfie-5MP-Dual-Chip-Android-Oreo/p/5929954,Yes
598,"Smartphone Multilaser G Pro 4G 2GB+32GB LCD IPS 6,1 Pol. Android 9 Octa Core Preto - P9097 P9097",831.0,831.0,"Até 10xdeR$83,10  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h33/h4e/h00/h00/14685999693854.jpg,www.carrefour.com.br/Smartphone-Multilaser-G-Pro-4G-2GB-32GB-LCD-IPS-6-1-Pol-Android-9-Octa-Core-Preto-P9097-P9097/p/MP19229704,Yes
599,SMARTPHONE MOTOROLA XT2053 MOTO E6S 32GB VERMELHO MAGENTA,829.0,829.0,"Até 10xdeR$82,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h31/h00/h00/h00/26758503268382.jpg,www.carrefour.com.br/SMARTPHONE-MOTOROLA-XT2053-MOTO-E6S-32GB-VERMELHO-MAGENTA/p/MP24087541,Yes
600,Smartphone Motorola Moto E6S XT2053 Azul Navy 32 GB,829.0,829.0,"Até 10xdeR$82,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h9d/h84/h00/h00/26758083706910.jpg,www.carrefour.com.br/Smartphone-Motorola-Moto-E6S-XT2053-Azul-Navy-32-GB/p/MP24085550,Yes
601,Smartphone Multilaser G P9095 Dual Chip Tela 5.5' 4G WiFi Câmera 5MP Preto Multilaser,813.29,813.29,"Até 10xdeR$81,33  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h03/haa/h00/h00/26650893746206.jpg,www.carrefour.com.br/Smartphone-Multilaser-G-P9095-Dual-Chip-Tela-5-5-4G-WiFi-Camera-5MP-Preto-Multilaser/p/MP23920718,Yes
602,"Smartphone Asus Zenfone Live L1 QuadCore, 32GB, 13MP, Tela 5.5 Pol., Preto - ZA550KL-4A140BR",809.0,809.0,"Até 10xdeR$80,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h50/h28/h00/h00/13595091107870.jpg,www.carrefour.com.br/Smartphone-Asus-Zenfone-Live-L1-QuadCore-32GB-13MP-Tela-5-5-Pol-Preto-ZA550KL-4A140BR/p/MP15533953,Yes
603,Smartphone Xiaomi Redmi GO,808.9,808.9,"Até 10xdeR$80,89  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hf9/hcf/h00/h00/14421931393054.jpg,www.carrefour.com.br/Smartphone-Xiaomi-Redmi-GO/p/MP18782206,Yes
604,Estabilizador Eletrônico Moza Mini-s Essential Para Smartphone,799.45,799.45,"Até 10xdeR$79,94  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h97/h4e/h00/h00/16966578470942.jpg,www.carrefour.com.br/Estabilizador-Eletronico-Moza-Mini-s-Essential-Para-Smartphone/p/MP22284573,Yes
605,Usado - Smartphone Asus Zenfone Live 16GB Tela 5` Câmera 13MP Dourado,799.0,799.0,"Até 10xdeR$79,90  sem juros",static.carrefour.com.br/medias/sys_master/images/images/he8/hd7/h00/h00/17329787600926.jpg,www.carrefour.com.br/Usado-Smartphone-Asus-Zenfone-Live-16GB-Tela-5%60-Camera-13MP-Dourado/p/MP22994971,Yes
606,"Smartphone Redmi Go 16GB, 1GB RAM, Tela 5', Azul, M1903C3GG - Xiaomi",790.0,790.0,"Até 10xdeR$79,00  sem juros",static.carrefour.com.br/medias/sys_master/images/images/ha8/h89/h00/h00/26703259566110.jpg,www.carrefour.com.br/Smartphone-Redmi-Go-16GB-1GB-RAM-Tela-5-Azul-M1903C3GG-Xiaomi/p/MP23994837,Yes
