,title,old_price,price,parcelas,image_link,product_link,produto_disponível
0,Smartphone Multilaser MS45S Android 6.0 Tela de 4.5 Wi-Fi 8GB 5MP Preto,399.9,399.9,"Até 8xdeR$49,99  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h57/h9a/h00/h00/12906909204510.jpg,www.carrefour.com.br/Smartphone-Multilaser-MS45S-Android-6-0-Tela-de-4-5-Wi-Fi-8GB-5MP-Preto/p/MV13402265,No
1,Smartphone Multilaser E 3G 16GB Tela 5.0 Polegadas Quad Core Camera Traseira 5MP + Frontal 5MP,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hd3/h0f/h00/h00/26743839981598.jpg,www.carrefour.com.br/Smartphone-Multilaser-E-3G-16GB-Tela-5-0-Polegadas-Quad-Core-Camera-Traseira-5MP-Frontal-5MP/p/MV24076627,No
2,Smartphone Multilaser E 3G 16GB Tela 5.0 Polegadas Quad Core Camera Traseira 5MP + Frontal 5MP,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h64/he1/h00/h00/26743825825822.jpg,www.carrefour.com.br/Smartphone-Multilaser-E-3G-16GB-Tela-5-0-Polegadas-Quad-Core-Camera-Traseira-5MP-Frontal-5MP/p/MV24074599,No
3,"USADO - Smartphone Lenovo Vibe B A2016B 8GB, Dual Chip, 4G, Android 6.0.1, Câm 5MP, Tela 4.5'', Wi-Fi Preto",399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hba/hc5/h00/h00/26718965334046.jpg,www.carrefour.com.br/USADO-Smartphone-Lenovo-Vibe-B-A2016B-8GB-Dual-Chip-4G-Android-6-0-1-Cam-5MP-Tela-4-5-Wi-Fi-Preto/p/MP24036326,No
4,Smartphone Positivo Twist 16GB Tela 5 Câmera 8MP S511 Rosa,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h9f/h4a/h00/h00/26468370743326.jpg,www.carrefour.com.br/Smartphone-Positivo-Twist-16GB-Tela-5-Camera-8MP-S511-Rosa/p/MV23633065,No
5,USADO: Smartphone LG G4 H815 32GB Branco (Bom) - Mais Barato Store,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hf2/h58/h00/h00/13821531619358.jpg,www.carrefour.com.br/USADO-Smartphone-LG-G4-H815-32GB-Branco-Bom-Mais-Barato-Store/p/MP15073884,No
6,Usado: iPhone 4S 8GB Preto Muito Bom - Trocafone,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h50/hcf/h00/h00/14616425660446.jpg,www.carrefour.com.br/Usado-iPhone-4S-8GB-Preto-Muito-Bom-Trocafone/p/MP19127061,No
7,Usado: iPhone 5C 8GB Azul Muito Bom - Trocafone,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/ha8/h57/h00/h00/14616274305054.jpg,www.carrefour.com.br/Usado-iPhone-5C-8GB-Azul-Muito-Bom-Trocafone/p/MP19124462,No
8,Usado: iPhone 5C 8GB Amarelo Muito Bom - Trocafone,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h76/h10/h00/h00/14616429658142.jpg,www.carrefour.com.br/Usado-iPhone-5C-8GB-Amarelo-Muito-Bom-Trocafone/p/MP19127060,No
9,Smartphone Motorola Moto C Xt1750 Dual Sim Tela 5.0 8gb 5mp/2mp - Branco,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h84/h92/h00/h00/11673907757086.jpg,www.carrefour.com.br/Smartphone-Motorola-Moto-C-Xt1750-Dual-Sim-Tela-5-0-8gb-5mp-2mp-Branco/p/MP11002108,No
10,"Smartphone Multilaser MS55 Colors Branco 5,5' 3G 5MP+8.0MP Quad Core 8GB + 16GB SD Card - P9004 - P9004",399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h3e/h83/h00/h00/10030136983582.jpg,www.carrefour.com.br/Smartphone-Multilaser-MS55-Colors-Branco-5-5-3G-5MP-8-0MP-Quad-Core-8GB-16GB-SD-Card-P9004-P9004/p/MP01810078,No
11,"Smartphone Mirage 81S 4G QuadCore 2GB RAM Dual Câmera 13MP+8MP Tela 5,5' Dual Chip Android 5 Preto P9028 - P9028",399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h84/h46/h00/h00/9695986515998.jpg,www.carrefour.com.br/Smartphone-Mirage-81S-4G-QuadCore-2GB-RAM-Dual-Camera-13MP-8MP-Tela-5-5-Dual-Chip-Android-5-Preto-P9028-P9028/p/MP01810070,No
12,Smartphone Quantum Müv Mirage Gold 16GB Dourado 4G 5.5,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h75/h53/h00/h00/8999937966110.jpg,www.carrefour.com.br/Smartphone-Quantum-Muv-Mirage-Gold-16GB-Dourado-4G-5-5-Camera-13MP-Android-6-0/p/8624593,No
13,Smartphone Quantum Müv Cherry Blossom 16GB Rosa 4G 5.5,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h46/hf2/h00/h00/9000012218398.jpg,www.carrefour.com.br/Smartphone-Quantum-Muv-Cherry-Blossom-16GB-Rosa-4G-5-5-Camera-13MP-Android-6-0/p/8624585,No
14,Smartphone Sky Devices 4.0D 4GB Android 4.4 Kitkat Rosa,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h3b/h07/h00/h00/12841810591774.jpg,www.carrefour.com.br/Smartphone-Sky-Devices-4-0D-4GB-Android-4-4-Kitkat-Rosa/p/MP13304177,No
15,Smartphone Twist S511 Positivo Rosa,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/he2/hf7/h00/h00/11521585184798.jpg,www.carrefour.com.br/Smartphone-Twist-S511-Positivo-Rosa/p/MP09932759,No
16,Smartphone ZTE L5 Shade 8GB Cinza 3G Tela 5,399.0,399.0,"Até 8xdeR$49,88  sem juros",static.carrefour.com.br/medias/sys_master/images/images/h1d/h7d/h00/h00/8988990963742.jpg,www.carrefour.com.br/Smartphone-ZTE-L5-Shade-8GB-Cinza-3G-Tela-5-Camera-8MP-Android-5-1/p/8616337,No
17,Smartphone Multilaser MS50L 3G QuadCore 1GB RAM Tela 5' Dual Chip Andr,397.9,397.9,"Até 8xdeR$49,74  sem juros",static.carrefour.com.br/medias/sys_master/images/images/hf3/h77/h00/h00/12273991680030.jpg,www.carrefour.com.br/Smartphone-Multilaser-MS50L-3G-QuadCore-1GB-RAM-Tela-5-Dual-Chip-Andr/p/MP11980076,No
