modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio,timestamp
"Apple iPhone 8 Plus 5,5 polegadas 4G LTE 12MP Câmera de Smartphone de gravação de vídeo 4K","R$ 11.839,65","R$ 11.839,65", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUdGK2zAQ%2FBUhSJ5yjiVFshwIIaRNH3pHA%2B37sZZWiTnHcmU74Tju37vnNrQFPezMzsLM6I1fMfV1bPmai0zwBR9eOyTgmtq9EOxS9KMb%2BPqNj6mhxXkYun69XA4J3AsmmYHX05y5eLmzy%2Bl8C85tpHMBrZQ%2BeKu9qgqpdBFWXofcliGYeb3RpRXoSoHolA%2BVCNaaIFDO40ZjWflCmWCx1Ai0VzZXoOcJfZ3QDc%2FkajN5mqndTB7o3W63DC6Yagct9B%2B2sioRP0UZIk3CGLlSZaHUTB1CgvbnTH3aHR4fcvUgc2XETBrsIBFbyRuEuqnBx57Y2LW%2Fpbv9tyfC54ZgE2%2BYqCvXOb7OM6sX%2FArNSDUKYVWZGSJackTt7bquQVYfz7FFZtmxGXumF5p1scETeOjZ6gt7%2FPGZCfl0ZPstxQDmkX2%2FQBq66YrQKcEVttv4MV%2B3HiNbff37dSOl7utTi564GAKm59oTrySCyj14YZwWpc6hqiTVLNAUpio0qfshJpzUSt%2FR3fl%2FjX6khQFPMb1Ocl38Q%2Fy52GMzNpD4O60SNcNzsKvcWMHffwGoUcR8,Wed Apr 29 13:01:49 2020
"Apple iPhone 8 Plus 5,5 polegadas 4G LTE 12MP Câmera de Smartphone de gravação de vídeo 4K","R$ 10.342,09","R$ 10.342,09", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUtGK2zAQ%2FBUhSJ5yjiVZthwIIeSaPvSOBtr3Yy2tEnOO5cp2wnHcv3fjNrQHftiZnYWZkd%2F5BWNfh5avuEgEX%2FDhrUMCtqntK8EuBjfaga%2Fe%2BRgbWpyGoetXy%2BUQwb5ilAk4Pc2JDec7u5zON2DtWlrr0UjpvDPaqaqQShc%2Bc9qnpvQ%2Bn9drXRqBthSIVjlfCW9M7gXKeVhrLK1wxnuDpUagvTI283oe0dUR7fBCrtaTp5nazuSevuv1msAZY22hhf5mK6ki8VOUIdAk8lxmRhVazNTeR2h%2FzdTjdv%2F0kKoHmapczGSOHURiK3kFXzc1uNATG7r2j3S7%2B%2F5M%2BNQQbMIVI3VlO8tXaWL0gl%2BgGalGkapMJmm54C05ova2Xdcgqw%2Bn0CIz7NCMPdMLzbrQ4BEc9Cz7yp5%2BfmFCPh%2FYbkMxgDlkP84Qh266InSMcIHNJtzmy8ZhYNm3f083Uuq%2BPrboiAveY3ypHfF5KSssTVZ5D1VapMJWRZ5rI7RMjTeS1P0QIk5qpe%2Fo7vxTo7e0MOAxxLdJrov%2FiL8XO2zGBiL%2FoFW0tx8syzKsJPCP3zjIxPE%3D,Wed Apr 29 13:01:49 2020
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi Câmera 12MP,"R$ 8.699,00","R$ 8.699,00", Fev/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUcFq4zAU%2FBUhcC5NHEuyFDkQSjZLetnQwB72WGTpqRF1La9s11tK%2F31f3Zbdgg5v5o3QzOiFPkHqQ2zplrKc0SUdnjtAYJtgHxB2KbrRDnT7QsfU4OIyDF2%2FXa%2BHZOwDJJ4bJ%2Bc5t%2FHxk13P16%2BNtTturQfNufNOSyfqDRdy40snfaEr79Ui7GSlGdiKAVjhfM281soz4Iu4k67yAMCU5doIW8sCRO2dWCRwIYEd7tDVbvaUiX3Gj3imacrNI6RgTWv6N1t5nZCfowwRJ654pZXWMhNHn0z7OxPf98cfq0KseCEUy7iCziRkaz4ZH5pgXOyRjV37Lt0fbk%2BILw3CJk6QsCrbWbotci2X9Mk0I7aoVVXlxZK2aAerC%2BdLbIEwRs4pkpP5QyTjN98QmQHwBRJuf5LyhlyRX2F1DORwjSkMYfx0%2FvcxI2bqw30LDrnoPaS74JAvCs9Kya0sVAVC1IxDXdRWqZIJqL1GdT%2FEBLNayE%2F0YW3%2Fpa%2B3MGjpPqbnWS43%2FxEfNw7QjI1J9BVXCYNTL0rpTcno618Gf7kJ,Wed Apr 29 13:01:49 2020
Smartphone Samsung Galaxy S20 Ultra SM-G988B Desbloqueado Dual Chip 512GB Android 10 Preto,"R$ 8.499,00","R$ 8.499,00", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-ultra-sm-g988b-desbloqueado-dual-chip-512gb-android-10-preto/p,Wed Apr 29 13:01:49 2020
"Smartphone Samsung Galaxy Z Flip 256GB - Ultravioleta 8GB RAM 6,7 Câm.","R$ 8.369,07","R$ 8.369,07", Abr/2020,a-static.mlcdn.com.br,https://track2.jacotei.com.br/r?h=eJxVkUtvGyEUhf8KYuGVmZfNPCxZURup2TSbRt10E10YZkILA%2BJh1Y7y33s7cdpkhc65F%2B79Ds%2F0pELUbqEHWhc13dJ09gqFNFr%2BQumDG7NM9PBMczBYeErJx0NZSpOFagoLM1z0okzWFyiks4UIZbQQkn9yi2IRbMzLzGYw8PvMLmwy2rOGt7Ng2aQAJ%2B2MSsB6NAJY1nZM4jFmb4BFZSatWF1ZX%2Fqy5px3w76qyqRKHDuVN5vl%2BBOkS0pvcrKP0eUg1QfLqlFnexSNWCW%2B7UHPy9HDGMBtPG66qPCox%2BPQcb7BieZVfiDDJKSX9FAVPd%2FSE5iMIfW7diiqbksXsH8ze%2FiHTR5escndik1%2BkC%2BITRD77jNh5Ps7cNKj9e3TPWm3Hbm9scX%2FP8gLxIi7qhE9N03rXugrKYdm6EUtOe9r3jVDNbQC1LTv96NoeuyOyQW1du%2BaN3Xd8v7KRb6%2BgUFSswvntZ1374zrjVvMwECgL1gKGALd8aYW%2B6GlL38AbAG%2BxA%3D%3D,Wed Apr 29 13:01:49 2020
Smartphone Samsung Galaxy Z Flip SM-F700F Desbloqueado Dual Chip 256GB Android 10.0 Preto,"R$ 8.369,07","R$ 8.369,07", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-z-flip-sm-f700f-desbloqueado-dual-chip-256gb-android-10-0-preto/p,Wed Apr 29 13:01:49 2020
iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi Câmera 12MP - Apple,"R$ 8.045,76","R$ 8.045,76", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUWFr2zAU%2FCtC4HxZ4liSZdmBULyMlMFCCvuwfSuy9NSIupYn2%2FVK6X%2Fvq9eyDQR6d7oHd6dn%2Bghx8KGjO8pSRtd0fOoBgWm9uUfYx2AnM9LdM51iiw%2BXceyH3XY7Rm3uIfJUW7nMqQkPH%2Bx2Wb%2FSxuy5MQ5Kzq2zpbSiUVxI5XIrXVZWzhUrv5dVycBUDMAI6xrmyrJwDPgq7GVjG21ZAU3DKm0KbmylmNKrCNZHMOMtutovnhJRJ%2FyIZ57nVD9A9EZ3enizlTYR%2BSXKGHBiIs9ULlWeiKOLuvuViC%2F18dsmExueiYIlvIBeR2QbPmvnW69tGJANffdHWh%2FOJ8SXFmEbZohYlekN3WVpKdf0UbcTtlhmuUxVsaYd%2BsHu%2FM0ldEB%2BDuSkf5PzFAORjF9%2FJl%2FP3xkn%2BTX5RH74jfPkcIUBNGH8dEM2pO77Fv7%2BzYSxBn%2FXgUUuOAfx1lvkORbtCpsZkwsFCrLCQQZNoXKRN3ihehhDhEUt5Ad6N1f%2FV9lbHj3CXYhPi1yqf4j3jQO0U6sjfcGniNmpc5VVjAN9eQURrrpS,Wed Apr 29 13:01:49 2020
iPhone 11 Pro 512GB Cinza Espacial iOS 4G + Wi-Fi Câmera 12MP,"R$ 7.999,00","R$ 7.999,00", Mar/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUctu2zAQ%2FBWCgHypLfMhSqQBI3DdOpcGMdBDjwG1JGMiiqhScow0yL93oyZoC%2FCwMzsLzAxf6JPPY0w93VBecrqk0%2FPgEUAX4QHhkJM7w0Q3L%2FScO1ycpmkYN%2Bv1lC08%2BCxK69Q8l5AeP9j1fH5lAbYCIHgthAtOKyfbRkjVhMqpwLQJoV7ErTKaezDce5AutDxoXQfuxSJtlUMNl6YGoa2EVjEvgVVqkb2L2cN0h662s6dC7gpxwHe5XEr76HME29vxzVbZZuTnKFPCSdTCGG2ULuQhZNv%2FLOSX3eHbismVYLLmhaj9YDOyrbjYELtoXRqRTUP%2FR7rb394gPnUIu3TxGauCAeiGlVot6ZPtzthiY4wp2ZL2aAeri8dT6j3hnBxzIoqL689kH%2FtflnwdBwvRdiTefifVNflEfsTVIZL9FeawhIub49%2BvOWOqMd733iGXQvD5LjrkGZgWnAiqEgJYG2wl2rY23jDbVk4DqscpZT%2BrpfpA7%2BZ2%2FzX2FsdO%2Fj7l51mumn%2BI94u9786dzfQVVxmjU80FCwoa%2Bvob1KO51w%3D%3D,Wed Apr 29 13:01:49 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 7.904,15","R$ 7.904,15", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUcFO4zAQ%2FZWRD5zSNE4T0lSqImjZ5VC0FXDYW2XsSTGbxNbERiDEv%2B%2BkosueRm%2Fem9G8Nx%2FiFWm0bhArIVMpEhHePTLQndV%2FGHpyJuogVh8iUsfEcwh%2BXM3nJyK41LshuJasS7Xr0yeal1mWFUVeNTH0h9FF0rh%2BUdoFtBdTq0djY79mtVekjCNPqN2J0rwLh7A%2Br7jQLO%2F1efzw%2B243O8web3Y3XDb%2FFjA4T%2FDF2muxytJlmYhX1UU2U9VZkUrGg%2Bonb3b%2F7AYEKWFPDu7UG1x53yHwSVDK%2FOd1Ao%2FYKbjHYAcFt1swCJdJ2SRgfz2AXDBP1rNi0%2FRIipEa0ZJKeGS04%2BQBoYHmGBUgXKuAZNW0ZOeGo4JtJNU0Dmaw5XjYwXfscVDjaI8DGu65tkU6WMP9hVlmdSVrky9LrPJSGyN129ZV0eZ51k6PG4MjPKkXyzP6MryffgQ%2F%2BElTPnzO0dH7SVpW%2FzW%2B1BvsYqdIfDJFnKWoL41si%2FxJfP4F8XuzMw%3D%3D,Wed Apr 29 13:01:49 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Dourado","R$ 9.299,00","R$ 7.904,15", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,Wed Apr 29 13:01:49 2020
