modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_anuncio,timestamp
"OnePlus T5 Mobile Phone 6.01"" 6 GB + 64GB / 8GB + 128GB Dual SIM Cartão Snapdragon 835 Octa Núcleo Smartphone Android","R$ 8.594,35","R$ 8.594,35", Abr/2020,images-americanas.b2w.io,https://tracker2.ad5track.com/tracker/click?acc=2ccfe822dfd85d3b72357f4d5f089ff6&i=5981ec91eec3dfb1f886f1e2&o=5e917588f8e95eac3d1a1f58&redirect_url=https%3A%2F%2Fwww.americanas.com.br%2Fproduto%2F1645430745%3Ffranq%3DAFL-03-20361%26epar%3Db2wafiliados%26opn%3DAFLACOM%26hl%3Dlower,Thu May 21 23:18:32 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Dourado","R$ 9.599,00","R$ 8.499,00", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,Thu May 21 23:18:32 2020
"iPhone X Apple 256GB 5,8"" Desbloqueado Prata","R$ 8.365,99","R$ 8.365,99", Nov/2017,jacotei.com.br,https://www.jacotei.com.br/iphone-x-apple-256gb-5-8-desbloqueado-prata/p,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 512GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 8.362,98","R$ 8.362,98", Mai/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004440?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004440&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004440,Thu May 21 23:18:32 2020
"iPhone 11 Pro Max Apple com 256GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 8.362,98","R$ 8.362,98", Mai/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004423?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004423&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004423,Thu May 21 23:18:32 2020
"iPhone 11 Pro Max Apple com 256GB, Tela Retina HD 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água, Bateria de Longa Duração - Verde Meia-Noite","R$ 8.362,98","R$ 8.362,98", Mai/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004424?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004424&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004424,Thu May 21 23:18:32 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Cinza Espacial","R$ 12.899,00","R$ 8.338,27", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-cinza-espacial/p,Thu May 21 23:18:32 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Prata","R$ 9.599,00","R$ 8.338,27", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-prata/p,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 512GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Verde Meia-Noite","R$ 8.276,07","R$ 8.276,07", Mar/2020,www.casasbahia-imagens.com.br,https://produto.casasbahia.com.br/50004441?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004441&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004441,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 512GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.276,07","R$ 8.276,07", Mar/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004439?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004439&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004439,Thu May 21 23:18:32 2020
