modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio,timestamp
"iPhone XS Apple com 512GB, Tela Super Retina HD de 5,8”, iOS 12, Dupla Câmera Traseira, Resistente à Água e Reconhecimento Facial - Dourado","R$ 9.529,00","R$ 9.529,00", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUU1v2kAQ%2FSujPeRkjL3Ogo2ErBbS9pCqUeGQGxrWA2xre1f7ESmK8t87WKHtyXofMzvv%2BU28kA%2FGjmIlyrwUmYivjhjo3ujfDJ23XdJRrN5E8j0LlxhdWM3nkxBt7uwY7ckbm2s75Ec%2FL6tGFQtVtykOh2CT17T%2BhdpGMndXaqDOpGHNboceO%2BudJ20nSfMuGuP6tuJOs33Qt%2FHD8%2FfH2WG2f3h84M%2Fm7wIGtwm%2BWDstVkVeq0y8YJ84TKNkkxeZGHG4RjNPFzsSPO%2Fgk3M9AV8CqpRfP2ewpx5hlxx5%2BEnRjAjfttARqKxuMzA%2FdlDKDLbJsW3TDuQR9h4DGY8ZTwQTrvcTtNCeEwIxx5kupM3AvIUvqA32MIMt98Kn%2F%2Bs7jRiCOY%2FUMWdPJ%2FIH0zFfYVGUzbKQi2NzVMuma%2B5lgRXWEiXJ6p7dIVpPk7uqb%2Bgj6pOdXuW%2Fcy0GI52tf52savkf8eHeUJ969OKdJc8lCtU1siC9EO9%2FACjtsbY%3D,Fri Apr 10 00:41:39 2020
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi Câmera 12MP,"R$ 9.119,05","R$ 9.119,05", Fev/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUV1r2zAU%2FStC4LyscfQROVIglCwjfVloYA97LLJ01Yi6lifb9Urpf9%2Bt27IN9HDPuUfonKMX%2BgS5j6mlW8pLTq%2Fo8NwBAtdE94Cwy8mPbqDbFzrmBheXYej67Wo1ZOseIIvSejXPpUuPn%2Bxqvn5tndsJ5wJoIXzwWnlZb4RUm7D2KjBtQqgWcaeM5uAMB3DSh5oHravAQSzSTnkTAIBXTmgrXa0YyDp4ucjgYwY33KGr3eypkPtCHPFM01TaR8jR2db2b7bKOiM%2FRxkSTqISRldaq0IeQ7btr0J%2B2x%2B%2FL5lcCiYrXogKOpuRrcVkQ2yi9alHNnXtu3R%2FuD0hvjQImzRBxqpc5%2BiWlVpd0SfbjNii4dyUDHGLfrC7eL6kFgjn5JwTOdnfRHFx8xWRHQCfIPH2B1nfkC%2FkZ1weIzlcYwxLuDid%2F%2F7MiKH6eN%2BCRy6FAPkueuQZC3ythFOsMiBlzQXUrHZVteYS6qBR3Q8pw6yW6hN9WNv%2FV9hbGrR0n%2FLzLFebf4iPGwdoxsZm%2BoqrjMmp2jBrlDD09Q%2BZR7ja,Fri Apr 10 00:41:39 2020
iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi Câmera 12MP - Apple,"R$ 9.099,00","R$ 9.099,00", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUWFr2zAU%2FCtC4HxZ4liSZdmBULyMlMFCCvuwfSuy9NSIupYn2%2FVK6X%2Fvq9eyDQR6d7oHd6dn%2Bghx8KGjO8pSRtd0fOoBgWm9uUfYx2AnM9LdM51iiw%2BXceyH3XY7Rm3uIfJUW7nMqQkPH%2Bx2Wb%2FSxuy5MQ5Kzq2zpbSiUVxI5XIrXVZWzhUrv5dVycBUDMAI6xrmyrJwDPgq7GVjG21ZAU3DKm0KbmylmNKrCNZHMOMtutovnhJRJ%2FyIZ57nVD9A9EZ3enizlTYR%2BSXKGHBiIs9ULlWeiKOLuvuViC%2F18dsmExueiYIlvIBeR2QbPmvnW69tGJANffdHWh%2FOJ8SXFmEbZohYlekN3WVpKdf0UbcTtlhlVZVma9qhHazO31xCB%2BTnQE76NzlPMRDJ%2BPVn8vX8nXGSX5NP5IffOE8OV%2BhfE8ZPN2RD6r5v4e%2FXTJhq8HcdWOSCcxBvvUWeY8%2BusJkxuVCgICscZNAUKhd5gxeqhzFEWNRCfqB3c%2FV%2Fjb3F0SPchfi0yKX6h3jfOEA7tTrSF3yKGJ1aoUsLpaAvr3I%2Buhs%3D,Fri Apr 10 00:41:39 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 8.447,12","R$ 8.447,12", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUcFu2zAM%2FRVCh54cx3bs2gkQGGvSbYcUC7Yedgs4iU612ZZAS8WKov8%2BOmi2nYjH90jwPb6qZ%2BLJulFtVJ7mKlHhxZMA3Vv9S6BnZ6IOavOqIvdCPIXgp81yeSGCS70bg%2BvYulS7If3ByyrLsrIs6jaG4TS5yJq2P1G7QPZmbg1kbBy2ovbIaBx7Ju0ulJZdNIbtdcWNFvmgr%2BOn7w%2BHxWnxeH%2B4l7L7u0DAdUIu1l6rTZY2VaKesY9ipinLOs2LRI04zN7s8cmNBHkOR3bwgL%2Fhg%2Fc9gZwEVV58ukvgkXqErxTsiPB5D4bgNqnaBOyXb5CvhGfrRbFrB2IUhBNZxkRGJjvNHghaaM8RgeAOA7HFecnBjWeEfWRsWwcL2Es84uBf7HHEabLnkYz0XNcRn6yR%2Fso02brO16ZoKqqLShuT665b12VXFFk3P24KjumiXjVX9G74OP8IPsqT5nzknLPjl4u0qv9rvKt31MceWb0JxZKlMvVthmW5Vm9%2FAPEwswQ%3D,Fri Apr 10 00:41:39 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.447,12","R$ 8.447,12", Nov/2019,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUUtv2zAM%2FiuEDj05juU4iRsgMNq02w4pFnQ97BbQMp2qsy2BlooVRf%2F76KDZdhK%2BBx8f9a5eiUfrBrVROtUqUeHNkwDTWfNLoGfXRBPU5l1F7kR4DsGPm%2Fn8LASXejcE17J1qXF9WvN8mWVZUeSrKob%2BOLrIhrYvaFwgezVRPTU29ltxe2RsHHsm486SkV40hO2lxZURe28u5cefD%2FvZcfZ0v7%2BXZ%2Fe3gYBLhWxsvFGbLC2XiXrFLkqYsijWqc4TNWA%2FZbOHZzcQaA0HdvCAv%2BHG%2B45AVoKlzr%2FeJvBEHcIjBTsgfLuDhmCVLKsE7PcfoBeis%2FXi2FU9MQrCkSxjIiWjHacMBBVUp4hAcIuB2OLUZO%2BGE8JdZKwqBzOZL5pE%2BHf3OOA42tNAjXCubYmPthF%2BpVusC6pXRmNGed2uG13npc6LsrleXBtxj8Exnd2L8oI%2BEx%2BmT4Iv8kvTgWTmyfHb2bpc%2F0d8unfUxQ5ZfYjEckyF2ZoWZGr18QfvabRj,Fri Apr 10 00:41:39 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Cinza-Espacial","R$ 8.447,12","R$ 8.447,12", Fev/2020,www.extra-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUk1v2zAM%2FSuEDj05TpTYtRsgMNY02A4pVmw97BYwEpNqsyWBkop2Rf%2F75KDedhLeBwk%2BUm%2FimTgYZ8VayFKKQsRXTxmo3qhfGXp2Oqko1m8icZ%2BFpxh9WM%2FnFyG6kl4iY6ncUB55Xi8Wi6pa1l2KwyG4xIo2P1G5SOZqpAbSJg2b7PbIqB17JuUuknI2ko2bqcWVyvZBTeWHH%2Ff72WH2uNvv8rP92yCDqSJPq7wS60XZ1oV4xj7lIG1VNaVcFsLiMOYyD0%2FOEkgJD%2BzgHl%2Fgk%2Fc9QR4Jarn8fFvAI%2FUI3ygai%2FDlDq6LuivAfP0OcpVFNj7L224gxowwkGEssj%2BYMAYg6KA7JwSCW4zEBkET7J09I9wlxq5zMIOtsb9xtgselcH%2B39qTxRDM2ZLOnDudiA9GZ75t1UrfHPUNaVoepW7l6YSnppGtaqr6mrI7RMd0cTer1QQ%2FUu%2BmI407ylOdHb9erHXzH%2FFh3lKfemTxniVW48c4kqo0VuL9D5metAI%3D,Fri Apr 10 00:41:39 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.447,12","R$ 8.447,12", Abr/2020,www.casasbahia-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUk1v2zAM%2FSuEDj05jp35IwkQGG1abIcUK7YeegsYmU602ZJBScWKov99dDBvOwmP7%2FHjkXpXr8TeOKu2Kk9zlajwNpIA3Rv9U%2BDIro06qO27itwLcQlh9Nvl8koEl2r06E94MZhqN6QnXpZZlhXFqmpiGI7eRda0%2B4HaBTI3U2ig1sRhJ%2BoRGVvHI5N2V0o7G8iG3VziRot80HP68eXxsDgunh8OD%2FLs%2FxYQMGfIyHrUapul6zJRr9hHcbMuijrNV4myOEzmzNPFWYI8hyd28Ii%2F4HYcewIZCcp89fkugWfqEb5RMBbhyz20BFVSNgmYr98h%2FyQ8m1EU%2B2YgRkHoyTAmkuKNnzwQNNCcIwLBHQZig1ORg7NnhPvI2DQOFtJfOLHwb%2FHRovfmbKmVmOs64qNpJV5oqqtKU7dpi7roqKt0mZ%2FarKsq3JzqUtQ%2BOKarui7qGf6xvJ%2FOJJPInaYVSdez47eruKz%2FC8xy6mOPrD6EYj39h6zetHW%2BVh%2B%2FAbahtKg%3D,Fri Apr 10 00:41:39 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Dourado","R$ 9.598,00","R$ 8.371,74", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,Fri Apr 10 00:41:39 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Verde","R$ 9.309,05","R$ 8.371,74", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-verde/p,Fri Apr 10 00:41:39 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Prata","R$ 9.598,00","R$ 8.371,74", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-prata/p,Fri Apr 10 00:41:39 2020
