modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio,timestamp
"iPhone XS Apple com 512GB, Tela Super Retina HD de 5,8”, iOS 12, Dupla Câmera Traseira, Resistente à Água e Reconhecimento Facial - Dourado","R$ 9.529,00","R$ 9.529,00", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUU1v2kAQ%2FSujPeRkjL3Ogo2ErBbS9pCqUeGQGxrWA2xre1f7ESmK8t87WKHtyXofMzvv%2BU28kA%2FGjmIlyrwUmYivjhjo3ujfDJ23XdJRrN5E8j0LlxhdWM3nkxBt7uwY7ckbm2s75Ec%2FL6tGFQtVtykOh2CT17T%2BhdpGMndXaqDOpGHNboceO%2BudJ20nSfMuGuP6tuJOs33Qt%2FHD8%2FfH2WG2f3h84M%2Fm7wIGtwm%2BWDstVkVeq0y8YJ84TKNkkxeZGHG4RjNPFzsSPO%2Fgk3M9AV8CqpRfP2ewpx5hlxx5%2BEnRjAjfttARqKxuMzA%2FdlDKDLbJsW3TDuQR9h4DGY8ZTwQTrvcTtNCeEwIxx5kupM3AvIUvqA32MIMt98Kn%2F%2Bs7jRiCOY%2FUMWdPJ%2FIH0zFfYVGUzbKQi2NzVMuma%2B5lgRXWEiXJ6p7dIVpPk7uqb%2Bgj6pOdXuW%2Fcy0GI52tf52savkf8eHeUJ969OKdJc8lCtU1siC9EO9%2FACjtsbY%3D,Sun Apr 12 21:18:06 2020
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi Câmera 12MP,"R$ 9.119,05","R$ 9.119,05", Fev/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUV1r2zAU%2FStC4LyscfQROVIglCwjfVloYA97LLJ01Yi6lifb9Urpf9%2Bt27IN9HDPuUfonKMX%2BgS5j6mlW8pLTq%2Fo8NwBAtdE94Cwy8mPbqDbFzrmBheXYej67Wo1ZOseIIvSejXPpUuPn%2Bxqvn5tndsJ5wJoIXzwWnlZb4RUm7D2KjBtQqgWcaeM5uAMB3DSh5oHravAQSzSTnkTAIBXTmgrXa0YyDp4ucjgYwY33KGr3eypkPtCHPFM01TaR8jR2db2b7bKOiM%2FRxkSTqISRldaq0IeQ7btr0J%2B2x%2B%2FL5lcCiYrXogKOpuRrcVkQ2yi9alHNnXtu3R%2FuD0hvjQImzRBxqpc5%2BiWlVpd0SfbjNii4dyUDHGLfrC7eL6kFgjn5JwTOdnfRHFx8xWRHQCfIPH2B1nfkC%2FkZ1weIzlcYwxLuDid%2F%2F7MiKH6eN%2BCRy6FAPkueuQZC3ythFOsMiBlzQXUrHZVteYS6qBR3Q8pw6yW6hN9WNv%2FV9hbGrR0n%2FLzLFebf4iPGwdoxsZm%2BoqrjMmp2jBrlDD09Q%2BZR7ja,Sun Apr 12 21:18:06 2020
"iPhone X Apple 256GB 5,8"" Desbloqueado Prata","R$ 8.365,99","R$ 8.365,99", Nov/2017,jacotei.com.br,https://www.jacotei.com.br/iphone-x-apple-256gb-5-8-desbloqueado-prata/p,Sun Apr 12 21:18:06 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Dourado","R$ 9.598,00","R$ 8.159,15", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,Sun Apr 12 21:18:06 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 8.159,15","R$ 8.159,15", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUcFu2zAM%2FRVCh54cx3LiOQkQGGvSbYcUC7oedgs4iU612ZZAS8WKov8%2BOmi2nYjH90jwPb6qZ%2BLR%2BUFtlM61ylR8CSTAdM78EhjY22Si2ryqxJ0QTzGGcTOfX4jo8%2BCH6Ft2Pje%2Bz3%2FwvCqKYrks6ybF%2FjT6xIa2P9H4SO5mavVkXeq3og7IaD0HJuMvlJFdNMTtdcWNEXlvruOn7%2FeH2Wn2eHe4k7L7u0DAdUIuNsGoTZGvqkw9Y5fEzEpX61wLHrCfvLnjkx8ItIYje7jH3%2FAxhI5AToJKl59vM3ikDuGBohsQvuzBEnzIqiYD9%2FUb6IXw7IIodk1PjIJwJMeYycjoxskDQQPNOSEQ3GIkdjgtOfjhjLBPjE3jYQZ7iUcc%2FIs9DTiO7jyQlZ5vW%2BKTs9Jf2FWxrvXalquK6rIy1mrTtut62ZZl0U6PG6NnuqgXqyt6N3ycfgSf5ElTPnLO2fPLRVrV%2FzXe1TvqUoes3oRiyVJVC1u0RYnq7Q%2F057Mp,Sun Apr 12 21:18:06 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.159,15","R$ 8.159,15", Nov/2019,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUUtvm0AQ%2FiujPeSEMYuBYEsWSpy0PTiqlebQmzUsg7MpsGjYjRpF%2Be8drLjtafU95vHNvqtX4sm6QW2UjrWKlH8bSYDprPklcGTXBOPV5l0F7kR49n6cNsvlWfAuHt3gXcvWxcb1cc3LPEmSLEuLKvj%2BOLnAhrYvaJwnezVTPTU29Ftxj8jYOB6ZjDtLRnrR4LeXFldG7L25lB9%2FPuwXx8XT%2Ff5ent3fBgIuFbKxGY3aJHGZR%2BoVuyBhSp2vYy14wH7OZg%2FPbiDQGg7s4AF%2Fw804dgSyEuQ6%2FXobwRN1CI%2Fk7YDw7Q4agiLKqwjs9x%2BgV6KzHcWxq3piFIQTWcZISiY7zRkIKqhOAYHgFj2xxbnJ3g0nhLvAWFUOFjJfNInw7%2B5hwGmyp4Ea4VzbEh9tI3yhW6wzqgujMaG0bq8bXaelTrOyWa%2FWRtyTd0xn96q8oM%2FEh%2FmT4Iv80nwgmXly%2FHa25tf%2FEZ%2FuHXWhQ1YfIrEcU6WZoQKxVB9%2FAPJZtDo%3D,Sun Apr 12 21:18:06 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Verde","R$ 9.309,05","R$ 8.159,15", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-verde/p,Sun Apr 12 21:18:06 2020
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Cinza Espacial","R$ 9.658,98","R$ 8.159,15", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-cinza-espacial/p,Sun Apr 12 21:18:06 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Cinza-Espacial","R$ 8.159,15","R$ 8.159,15", Fev/2020,www.extra-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUU1v2zAM%2FSuEDj05jmXHjRMgMNY02A4pVmw99BYwEp1qsyVBlop2Rf%2F7mKDeehLeB4n3qDfxTGE0zoq1kLkUmYivnhio3qjfDH1wOqko1m8ihZ6Fpxj9uJ7PL0J0Ob3EgLlyQ34M87ooisWirNsUh8PoUlC0%2BYXKRTJXZ2ogbdKwYbfHgNoFH0i5i6ScjWTjZlpxpdg%2BqGn88Hi3nx1mD7v9jp%2FtvwUMpglOq7wS6yJv6kw8Y5%2B4SCPrVS4ZWxzOvcz9k7MEUsJ9cHCHL%2FDF%2B56AI0Ety683GTxQj%2FCDorEI327hOqvbDMz3nyArFoPxLG%2FbgQIywpFMwIz9oxnPBQhaaE8JgeAGIwWDoAn2zp4QblPAtnUwg62xf3C2Gz0qg%2F3%2FsyeL42hOljRzrusoHIxmvmlUpVdHvSJN5VHqRnYddsulbNRyUV8Tu8foAl3cy6qa4Efr3fRJ5xtxqpMLrxdrvfxEfJi31Kceg3hnKfA9RVGUSlZ1Kd7%2FAphQsz0%3D,Sun Apr 12 21:18:06 2020
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 8.159,15","R$ 8.159,15", Abr/2020,www.casasbahia-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUk1v2zAM%2FSuEDj05jt35owkQGG1arIcULbYeegsYmU602ZJBSUWLov%2B9dDBvOwmP7%2FHjkfpQr8TeOKvWKk9zlajwPpIA3Rv9W%2BDIro06qPWHitwLcQph9Ovl8kwEl2r06A94MphqN6QHXpZZlhXFZdXEMOy9i6xp8wu1C2QuptBArYnDRtQjMraORybtzpR2NpANm7nEhRb5oOf0%2FcvDbrFfPN%2Ft7uTZ%2Fi0gYM6QkfWo1TpLr8pEvWIfxc1VXq7SXLDFYTJnnk7OEuQ5PLGDB3yD63HsCWQkKPPL7zcJPFOP8IOCsQj3t9ASVEnZJGAef0L%2BTXg2oyi2zUCMgtCTYUwkxRs%2FeSBooDlGBIIbDMQGpyI7Z48It5GxaRwspL9wYuHf4qNF783RUisx13XEe9NKvNBUV5WmbtUWddFRV%2BkyP7RZV1W4OtSlqH1wTGd1XdQz%2FGN5O51JJpE7TSuSrkfH72dxWf8XmOXUxx5ZfQrFevocRVGVNZL6%2FAK4obSl,Sun Apr 12 21:18:06 2020
