modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_aunicio,timestamp
Celular Samsung Galaxy A-30-S 64GB Dual - SM-A307GZLRZTO,"R$ 11.942,10","R$ 11.942,10", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUdFq4zAQ%2FBUjSJ5ix5IsRwqE4rYkLy2Fyz31pWykVWrqWD7Zbi6U%2Fvtt3St3BT3szI5gZvaNvWLs69CyNeMZZws2XDokYJvavhDsYnCjHdj6jY2xocXzMHT9erkcItgXjCIDp6Y5s%2BH0xS6n71dg7UZY61EL4bzTysnDSki18oVTPtfG%2B3Jeb5TRHK3hiFY6f%2BBe69JzFPOwUVggFnnuNRqFQHvpC4U4j%2BjqiHZ4IlebydNMVjOxpXc%2BnzM4YawttNB%2F2MoOkfgpyhBo4oorbcpcmJnc%2Bgjtr5m8rbZ3aS5TkcuSz0SJHURiD%2BIMvm5qcKEnNnTtp7S6ebgn%2FNwQbMIZI3VlO8vWeabVgr1CM1KNnJtCZHzBWjJE5d1gMzYQkz2c%2BrE9Jjto4PclqVKZp%2FukLHbXye0ITZIm%2B%2Fu0kvlq93j34%2FHnw7%2B7jBSpr48tOuKC9xifake8dKrUfgXGl1jIwheF4xrg4FEZBQpJ3Q8h4qSW6gv99VV9q%2BsjCgx4DPEyydXqP%2BJ7EvZOq0ixmS6MV2Ace%2F8Dexm5eQ%3D%3D,2020-04-22
"Apple iPhone 8 Plus 5,5 polegadas 4G LTE 12MP Câmera de Smartphone de gravação de vídeo 4K","R$ 11.227,26","R$ 11.227,26", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUtGK2zAQ%2FBUhSJ5yjiVFsh0IIaRNH3pHA%2B37sZZWiTnFcmU74Tju37vnNrQFP%2BzMzsLMyG%2F8iqlvYsvXXGSCL%2Fjw2iEBGxr7QrBL0Y124Os3PqZAi%2FMwdP16uRwS2BdMMgOnpzmz8XJnl9P5FqzdSGs9llI670rtVF1IpQu%2FctrnZeW9mTcbXZUCbSUQrXK%2BFr4sjRco53GjsapdoYwvsdIItFdlrkDPE7omoR2eydVm8jRTu5k80He73TK4YGostNB%2F2MrqRPwUZYg0CWPkSlWFUjN18AnanzP1aXd4fMjVg8yVETNpsINEbC1v4JvQgIs9sbFrf0t3%2B29PhM%2BBYIg3TNSV7Sxf51mpF%2FwKYaQahZCyyKRZ8JYcUXu7rgvImuM5tshKdgxjz%2FRCsy4GPIGDnq2%2BsMcfn5mQT0e231IMYA7Z9wukoZuuCJ0SXGG7jR%2FzdeswstXXv083Uuq%2BObXoiIveY3puHPFKIqjcgRPGalHpHOpaUs0CTWHqQpO6H2LCSa30Hd2d%2F9foR1oY8BTT6yTXxT%2FEn4s9hjFA4u%2B0StQMp99AFb5e8fdfnY7E2Q%3D%3D,2020-04-22
"Apple iPhone 8 Plus 5,5 polegadas 4G LTE 12MP Câmera de Smartphone de gravação de vídeo 4K","R$ 9.807,16","R$ 9.807,16", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUtGK2zAQ%2FBVhSJ5yjiVZthwIIeSaPvSOBtr3Yy2tEnOK5cp2wnHcv3fjNrQHetiZ3UUzI70nF4x9E9pklfCUJ4tkeOuQgPGNeSXYxWBHMySr92SMnhqnYej61XI5RDCvGEUKVk11asL5zi6n9Q0YsxbGONRCWGe1srIuhVSly61yma6cK%2BbNWlWao6k4opHW1dxpXTiOYh7WCivDrXZOY6UQqC%2B1yZ2aR7RNRDO8kKr1pGkmtzOxp3O9XlM4Y2wMtNDfZKV1JH6yMgSqeFGIXMtS8Zncuwjtr5l83O6fHjL5IDJZ8JkosINIbC2u4BrfgA09saFr%2F4xud9%2BfCZ88QR%2BuGCkr05lklaVaLZIL%2BJFirHRWprxYJC0JovC2XeeRNYdTaJFpdvBjz9RCsS54PIKFnuVf2dPPL4yL5wPbbcgFMIvsxxni0E1bhI4RLrDZhFt92VgMLP%2F27%2BVGMt03xxYtccE5jC%2BNJb6oRI2VzmvnoM7KjJu6LAqluRKZdlrQdD%2BEiNO0VHd0V%2F4p0JtZGPAY4ts0rsr%2FiL8bO%2FSjh5h8UCua2%2F8CB5Wmiz5%2BA6XLxNo%3D,2020-04-22
iPhone 11 Pro Max 512GB Prateado iOS 4G + Wi-Fi Câmera 12MP,"R$ 8.264,05","R$ 8.264,05", Fev/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUctu2zAQ%2FBWCgHxpLIukSFMGjMB14VxqxEAPPQZ8LGMiiqhSUtwgyL93oyRoC%2FCwMzsLzuy%2B0CfIQ0wd3VBWMnpFx%2BceELg2ugeEfU5%2BciPdvNApt9g4j2M%2FbFarMRv3AJmXxsu5Ll16%2FGRX8%2Fi1cW7LnQugOffBa%2BmFXXMh16H2MlS6CUEt4lY2moFrGIATPlgWtFaBAV%2BkrfRNAACmHNdGOCsrEDZ4scjgYwY33qGr7eypELuCH%2FBdLpfSPEKOznRmeLNV2oz8HGVMWHHFG620loU4hGy6X4X4tjt8X1ZiySuhWMEV9CYja%2FnFhNhG49OAbOq7d%2Bluf3tEfG4RtukCGVflekc3VanlFX0y7YRb1FzVZYW4Qz%2B4u3g6pw4IY%2BSUEzma30QyfvMVkRkBvyDx9gepb8gX8jMuD5HsrzGGIYwfT38vM2GoId534JFLIUC%2Bix75qgqsltzJSjUghGUcbGWdUjUTYING9TCmDLNayE%2F0YW3338Le0qCl%2B5SfZ7lc%2F0N8TOyhnVqT6Su2MianAm%2FFgFn6%2Bgecbrlj,2020-04-22
iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi Câmera 12MP - Apple,"R$ 7.999,20","R$ 7.999,20", Abr/2020,images-americanas.b2w.io,https://track2.jacotei.com.br/r?h=eJxVUWFr2zAU%2FCtC4HxZ4liSZdmBULyMlMFCCvuwfSuy9NSIupYn2%2FVK6X%2Fvq9eyDQR6d7oHd6dn%2Bghx8KGjO8pSRtd0fOoBgWm9uUfYx2AnM9LdM51iiw%2BXceyH3XY7Rm3uIfJUW7nMqQkPH%2Bx2Wb%2FSxuy5MQ5Kzq2zpbSiUVxI5XIrXVZWzhUrv5dVycBUDMAI6xrmyrJwDPgq7GVjG21ZAU3DKm0KbmylmNKrCNZHMOMtutovnhJRJ%2FyIZ57nVD9A9EZ3enizlTYR%2BSXKGHBiIs9ULlWeiKOLuvuViC%2F18dsmExueiYIlvIBeR2QbPmvnW69tGJANffdHWh%2FOJ8SXFmEbZohYlekN3WVpKdf0UbcTtqiqqkr5mnZoB6vzN5fQAfk5kJP%2BTc5TDEQyfv2ZfD1%2FZ5zk1%2BQT%2BeE3zpPDFfrXhPHTDdmQuu9b%2BPs1E6Ya%2FF0HFrngHMRbb5Hn2LMrbGZMLhQoyAoHGTSFykXe4IXqYQwRFrWQH%2BjdXP1fY29x9Ah3IT4tcqn%2BId43DtBOrY70BZ8iRqcluFJXeUlfXgF6L7oB,2020-04-22
Smartphone Samsung Galaxy S20 Ultra SM-G988B Desbloqueado Dual Chip 512GB Android 10 Preto,"R$ 7.999,00","R$ 7.999,00", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-ultra-sm-g988b-desbloqueado-dual-chip-512gb-android-10-preto/p,2020-04-22
CELULAR SMARTPHONE SAMSUNG G988B GALAXY S 20 ULTRA CINZA,"R$ 7.999,00","R$ 7.999,00", Abr/2020,m.media-amazon.com,https://track2.jacotei.com.br/r?h=eJxNUF1vgjAU%2FStNH8yWOChgKZCQpTqnJuiMaLLtxZRSHRGBlKJxxv%2B%2B4j7cfTvn3I9z7hkehKyzsoABtAwLdqE6VUIDnmd8p2Ely7ThCgZn2MhcCx9KVXVgmsfj0WB79lkWBi%2F3RiLNtDL7yCP2OHrqPZtSbEJW83W6Wd9YC3ukR4iL2jIfFduGNrKIg13vwUYdLgVT2UGEjoccx%2FnDNJ7MwtuWTp4Vu0GZCn2g0B55xWGADA934YHljbZPfN83UBcWbN%2BGGQyjVUQXIJ7SxXI%2BfpkNQUyn8Wo2AiPf8%2FpgRCP6%2BgZiYCOwipYLCgaT2Tu9vaMpWF1n20Kkmis3GyHXWar5xEVuYieYEZekAjk9hIlv%2B9hLEcE%2Bw7q7VqUU127Hai1%2B4x9n9PpBcDdlcifUPGdc3LeJmBLbUp6uY5j8I34TibzJmYQXLUmdHrKEJ25POPDyBfyEi8M%3D,2020-04-22
"IPhone 11 Pro Max Apple 512GB 6.5"" Desbloqueado Dourado","R$ 9.309,05","R$ 7.904,15", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-11-pro-max-apple-512gb-6-5-desbloqueado-dourado/p,2020-04-22
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 7.904,15","R$ 7.904,15", Mar/2020,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUcFO4zAQ%2FZWRD5zSNE4T0lSqImjZ5VC0FXDYW2XsSTGbxNbERiDEv%2B%2BkosueRm%2Fem9G8Nx%2FiFWm0bhArIVMpEhHePTLQndV%2FGHpyJuogVh8iUsfEcwh%2BXM3nJyK41LshuJasS7Xr0yeal1mWFUVeNTH0h9FF0rh%2BUdoFtBdTq0djY79mtVekjCNPqN2J0rwLh7A%2Br7jQLO%2F1efzw%2B243O8web3Y3XDb%2FFjA4T%2FDF2muxytJlmYhX1UU2U9VZkUrGg%2Bonb3b%2F7AYEKWFPDu7UG1x53yHwSVDK%2FOd1Ao%2FYKbjHYAcFt1swCJdJ2SRgfz2AXDBP1rNi0%2FRIipEa0ZJKeGS04%2BQBoYHmGBUgXKuAZNW0ZOeGo4JtJNU0Dmaw5XjYwXfscVDjaI8DGu65tkU6WMP9hVlmdSVrky9LrPJSGyN129ZV0eZ51k6PG4MjPKkXyzP6MryffgQ%2F%2BElTPnzO0dH7SVpW%2FzW%2B1BvsYqdIfDJFnKWoL41si%2FxJfP4F8XuzMw%3D%3D,2020-04-22
"iPhone 11 Pro Max Apple com 512GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 7.904,15","R$ 7.904,15", Nov/2019,www.pontofrio-imagens.com.br,https://track2.jacotei.com.br/r?h=eJxNUclu2zAQ%2FZUBDznJsijL8gIYQuOk7cFBjTSH3owRNXLYSiIxIoMGQf69IyNueyLeMssbvqkX4tG6QW2VTrVKVHj1JMB01vwS6Nk10QS1fVOROxGeQ%2FDjdj6%2FCMGl3g3BtWxdalyf1jxfZllWFHlZxdCfRhfZ0O4nGhfI3kxUT42N%2FU7cHhkbx57JuItkpBcNYXdtcWPE3ptr%2BenHw2F2mj3dH%2B7l2f9tIOBaIRsbb9Q2S9fLRL1gFyXMapMVqRY8YD9ls8dnNxBoDUd28IC%2F4ZP3HYGsBEudf7lN4Ik6hEcKdkD4egcNQZksqwTst%2B%2BgF6Kz9eLYVz0xCsKRLGMiJaMdpwwEFVTniEBwi4HY4tTk4IYzwl1krCoHM5kvmkT4d%2Fc44Dja80CNcK5tiU%2B2Eb7ULdYF1aXRmFFet6tG1%2Fla58W62Sw2RtxjcEwX92J9RR%2BJj9MnwWf5pelAMvPs%2BPViXa7%2BIz7ce%2Bpih6zeRWI5piJt2pJwo97%2FAPCKtG0%3D,2020-04-22
